or,de,Distance
3410+Bayview+Avenue+Toronto,BAY+STATION,15890
525+Bloor+Street+East+Toronto,BAY+STATION,1488
87+Pembroke+St+Toronto,BAY+STATION,2510
101+Ontario+Street+Toronto,BAY+STATION,3384
2808+Dundas+St+W+Toronto,BAY+STATION,6578
723+Queen+Street+West+Toronto,BAY+STATION,3751
107+Jarvis+Street+Toronto,BAY+STATION,3072
Sherbourne+Street+Toronto,BAY+STATION,2352
29+Leslie+Street+Toronto,BAY+STATION,6450
2671+Islington+Avenue+Toronto,BAY+STATION,18959
502+Spadina+Ave.+Toronto,BAY+STATION,2088
191+Spadina+Road+Toronto,BAY+STATION,1813
95+Wellesley+St.+E.+Toronto,BAY+STATION,1408
23+Grange+Road+Toronto,BAY+STATION,2407
875+Queen+St+E+Toronto,BAY+STATION,5222
7+Vanauley+Street+Toronto,BAY+STATION,3110
21+Walmer+Rd.+Toronto,BAY+STATION,1483
80+Woodlawn+Ave.+East+Toronto,BAY+STATION,2051
6+Warrendale+Court+Etobicoke,BAY+STATION,20357
348+Davenport+Rd.+Toronto,BAY+STATION,1360
167+College+Street+Toronto,BAY+STATION,1570
702+Kennedy+Road+Scarborough,BAY+STATION,13858
265+Queens+Drive+Toronto,BAY+STATION,12582
248+Dufferin+Street+Toronto,BAY+STATION,6310
177+Caledonia+Rd+Toronto,BAY+STATION,6809
747+Warden+Ave+Toronto,BAY+STATION,11782
100+Lippincott+Street+Toronto,BAYVIEW+STATION,14909
973+Lansdowne+Avenue+Toronto,BAYVIEW+STATION,15973
43+Christie+Street+Toronto,BAYVIEW+STATION,14531
1229+Ellesmere+Road+Toronto,BAYVIEW+STATION,11190
1651+Sheppard+Ave+West+Toronto,BAYVIEW+STATION,10477
4222+Kingston+Road+Toronto,BAYVIEW+STATION,18614
38+Bathrust+St+Toronto,BAYVIEW+STATION,16870
291+Sherbourne+Street+Toronto,BAYVIEW+STATION,12982
3306+Kingston+Road+Toronto,BAYVIEW+STATION,17716
339+George+Street+Toronto,BAYVIEW+STATION,13132
129+Peter+St+Toronto,BAYVIEW+STATION,15523
674+Dundas+St.+W+Toronto,BAYVIEW+STATION,15456
616+Vaughan+Road+Toronto+Toronto,BAYVIEW+STATION,12628
20+Gerrard+Street+East+Toronto,BAYVIEW+STATION,13517
2714+Danforth+Avenue+Toronto,BAYVIEW+STATION,14101
349+George+Street+Toronto,BAYVIEW+STATION,13064
60+Brant+Street+Toronto,BAYVIEW+STATION,16042
360+Lesmill+Road+North+York,BAYVIEW+STATION,2739
25+Canterbury+Place+North+York,BAYVIEW+STATION,3239
"490+Sherbourne+Street,+2nd+floor+Toronto",BAYVIEW+STATION,12143
512+Jarvis+St.+Toronto,BAYVIEW+STATION,12193
86+Lombard+St.+Toronto,BAYVIEW+STATION,14069
1161+Caledonia+Road+Toronto,BAYVIEW+STATION,10932
412+Queen+Street+East+Toronto,BAYVIEW+STATION,13902
702+Kennedy+Rd+Toronto,BAYVIEW+STATION,14090
1322+Bloor+Street+West+Toronto,BAYVIEW+STATION,16673
3576+St.+Clair+Avenue+East+Scarborough,BAYVIEW+STATION,15657
805A+Wellington+Street+W+Toronto,BAYVIEW+STATION,17406
422+Gilbert+Avenue+Toronto,BAYVIEW+STATION,13969
1076+Pape+Avenue+Toronto,BAYVIEW+STATION,10368
14+Vaughan+Road+Toronto,BAYVIEW+STATION,12439
558+Bathurst+Street+Toronto,BAYVIEW+STATION,14874
126+Pape+Avenue+Toronto,BAYVIEW+STATION,13794
60+Newcastle+Street+Toronto,BAYVIEW+STATION,24535
70+Gerrard+St.+E.+Toronto,BAYVIEW+STATION,13240
3410+Bayview+Avenue+Toronto,BAYVIEW+STATION,3703
525+Bloor+Street+East+Toronto,BAYVIEW+STATION,11654
87+Pembroke+St+Toronto,BAYVIEW+STATION,13145
101+Ontario+Street+Toronto,BAYVIEW+STATION,13763
2808+Dundas+St+W+Toronto,BAYVIEW+STATION,17238
723+Queen+Street+West+Toronto,BAYVIEW+STATION,16391
107+Jarvis+Street+Toronto,BAYVIEW+STATION,13982
Sherbourne+Street+Toronto,BAYVIEW+STATION,12893
29+Leslie+Street+Toronto,BAYVIEW+STATION,14467
2671+Islington+Avenue+Toronto,BAYVIEW+STATION,16902
502+Spadina+Ave.+Toronto,BAYVIEW+STATION,14512
191+Spadina+Road+Toronto,BAYVIEW+STATION,12717
95+Wellesley+St.+E.+Toronto,BAYVIEW+STATION,12441
23+Grange+Road+Toronto,BAYVIEW+STATION,14887
875+Queen+St+E+Toronto,BAYVIEW+STATION,14117
7+Vanauley+Street+Toronto,BAYVIEW+STATION,15803
21+Walmer+Rd.+Toronto,BAYVIEW+STATION,13481
80+Woodlawn+Ave.+East+Toronto,BAYVIEW+STATION,10835
6+Warrendale+Court+Etobicoke,BAYVIEW+STATION,18315
348+Davenport+Rd.+Toronto,BAYVIEW+STATION,12291
167+College+Street+Toronto,BAYVIEW+STATION,14075
702+Kennedy+Road+Scarborough,BAYVIEW+STATION,14090
265+Queens+Drive+Toronto,BAYVIEW+STATION,13990
248+Dufferin+Street+Toronto,BAYVIEW+STATION,18498
177+Caledonia+Rd+Toronto,BAYVIEW+STATION,14852
747+Warden+Ave+Toronto,BAYVIEW+STATION,13550
100+Lippincott+Street+Toronto,BESSARION+STATION,15782
973+Lansdowne+Avenue+Toronto,BESSARION+STATION,16846
43+Christie+Street+Toronto,BESSARION+STATION,15404
1229+Ellesmere+Road+Toronto,BESSARION+STATION,10317
1651+Sheppard+Ave+West+Toronto,BESSARION+STATION,11350
4222+Kingston+Road+Toronto,BESSARION+STATION,17741
38+Bathrust+St+Toronto,BESSARION+STATION,17743
291+Sherbourne+Street+Toronto,BESSARION+STATION,13855
3306+Kingston+Road+Toronto,BESSARION+STATION,16843
339+George+Street+Toronto,BESSARION+STATION,14006
129+Peter+St+Toronto,BESSARION+STATION,16397
674+Dundas+St.+W+Toronto,BESSARION+STATION,16329
616+Vaughan+Road+Toronto+Toronto,BESSARION+STATION,13501
20+Gerrard+Street+East+Toronto,BESSARION+STATION,14390
2714+Danforth+Avenue+Toronto,BESSARION+STATION,13751
349+George+Street+Toronto,BESSARION+STATION,13937
60+Brant+Street+Toronto,BESSARION+STATION,16915
360+Lesmill+Road+North+York,BESSARION+STATION,1865
25+Canterbury+Place+North+York,BESSARION+STATION,4112
"490+Sherbourne+Street,+2nd+floor+Toronto",BESSARION+STATION,13016
512+Jarvis+St.+Toronto,BESSARION+STATION,13067
86+Lombard+St.+Toronto,BESSARION+STATION,14943
1161+Caledonia+Road+Toronto,BESSARION+STATION,11805
412+Queen+Street+East+Toronto,BESSARION+STATION,14776
702+Kennedy+Rd+Toronto,BESSARION+STATION,13217
1322+Bloor+Street+West+Toronto,BESSARION+STATION,17547
3576+St.+Clair+Avenue+East+Scarborough,BESSARION+STATION,14784
805A+Wellington+Street+W+Toronto,BESSARION+STATION,18280
422+Gilbert+Avenue+Toronto,BESSARION+STATION,14842
1076+Pape+Avenue+Toronto,BESSARION+STATION,11241
14+Vaughan+Road+Toronto,BESSARION+STATION,13312
558+Bathurst+Street+Toronto,BESSARION+STATION,15748
126+Pape+Avenue+Toronto,BESSARION+STATION,14668
60+Newcastle+Street+Toronto,BESSARION+STATION,25408
70+Gerrard+St.+E.+Toronto,BESSARION+STATION,14113
3410+Bayview+Avenue+Toronto,BESSARION+STATION,3982
525+Bloor+Street+East+Toronto,BESSARION+STATION,12527
87+Pembroke+St+Toronto,BESSARION+STATION,14018
101+Ontario+Street+Toronto,BESSARION+STATION,14636
2808+Dundas+St+W+Toronto,BESSARION+STATION,18111
723+Queen+Street+West+Toronto,BESSARION+STATION,17264
107+Jarvis+Street+Toronto,BESSARION+STATION,14856
Sherbourne+Street+Toronto,BESSARION+STATION,13766
29+Leslie+Street+Toronto,BESSARION+STATION,15340
2671+Islington+Avenue+Toronto,BESSARION+STATION,17776
502+Spadina+Ave.+Toronto,BESSARION+STATION,15385
191+Spadina+Road+Toronto,BESSARION+STATION,13590
95+Wellesley+St.+E.+Toronto,BESSARION+STATION,13314
23+Grange+Road+Toronto,BESSARION+STATION,15760
875+Queen+St+E+Toronto,BESSARION+STATION,14991
7+Vanauley+Street+Toronto,BESSARION+STATION,16677
21+Walmer+Rd.+Toronto,BESSARION+STATION,14354
80+Woodlawn+Ave.+East+Toronto,BESSARION+STATION,11709
6+Warrendale+Court+Etobicoke,BESSARION+STATION,19188
348+Davenport+Rd.+Toronto,BESSARION+STATION,13165
167+College+Street+Toronto,BESSARION+STATION,14948
702+Kennedy+Road+Scarborough,BESSARION+STATION,13217
265+Queens+Drive+Toronto,BESSARION+STATION,14864
248+Dufferin+Street+Toronto,BESSARION+STATION,19371
177+Caledonia+Rd+Toronto,BESSARION+STATION,15725
747+Warden+Ave+Toronto,BESSARION+STATION,12676
100+Lippincott+Street+Toronto,BLOOR-YONGE+STATION,2704
973+Lansdowne+Avenue+Toronto,BLOOR-YONGE+STATION,5367
43+Christie+Street+Toronto,BLOOR-YONGE+STATION,2898
1229+Ellesmere+Road+Toronto,BLOOR-YONGE+STATION,17826
1651+Sheppard+Ave+West+Toronto,BLOOR-YONGE+STATION,14781
4222+Kingston+Road+Toronto,BLOOR-YONGE+STATION,19207
38+Bathrust+St+Toronto,BLOOR-YONGE+STATION,4421
291+Sherbourne+Street+Toronto,BLOOR-YONGE+STATION,1944
3306+Kingston+Road+Toronto,BLOOR-YONGE+STATION,15546
339+George+Street+Toronto,BLOOR-YONGE+STATION,1870
129+Peter+St+Toronto,BLOOR-YONGE+STATION,3116
674+Dundas+St.+W+Toronto,BLOOR-YONGE+STATION,3157
616+Vaughan+Road+Toronto+Toronto,BLOOR-YONGE+STATION,5633
20+Gerrard+Street+East+Toronto,BLOOR-YONGE+STATION,1314
2714+Danforth+Avenue+Toronto,BLOOR-YONGE+STATION,7312
349+George+Street+Toronto,BLOOR-YONGE+STATION,1802
60+Brant+Street+Toronto,BLOOR-YONGE+STATION,3555
360+Lesmill+Road+North+York,BLOOR-YONGE+STATION,13122
25+Canterbury+Place+North+York,BLOOR-YONGE+STATION,11742
"490+Sherbourne+Street,+2nd+floor+Toronto",BLOOR-YONGE+STATION,1179
512+Jarvis+St.+Toronto,BLOOR-YONGE+STATION,798
86+Lombard+St.+Toronto,BLOOR-YONGE+STATION,2476
1161+Caledonia+Road+Toronto,BLOOR-YONGE+STATION,9954
412+Queen+Street+East+Toronto,BLOOR-YONGE+STATION,3148
702+Kennedy+Rd+Toronto,BLOOR-YONGE+STATION,13269
1322+Bloor+Street+West+Toronto,BLOOR-YONGE+STATION,4791
3576+St.+Clair+Avenue+East+Scarborough,BLOOR-YONGE+STATION,12210
805A+Wellington+Street+W+Toronto,BLOOR-YONGE+STATION,4957
422+Gilbert+Avenue+Toronto,BLOOR-YONGE+STATION,8059
1076+Pape+Avenue+Toronto,BLOOR-YONGE+STATION,4273
14+Vaughan+Road+Toronto,BLOOR-YONGE+STATION,3379
558+Bathurst+Street+Toronto,BLOOR-YONGE+STATION,2680
126+Pape+Avenue+Toronto,BLOOR-YONGE+STATION,5030
60+Newcastle+Street+Toronto,BLOOR-YONGE+STATION,12652
70+Gerrard+St.+E.+Toronto,BLOOR-YONGE+STATION,1447
3410+Bayview+Avenue+Toronto,BLOOR-YONGE+STATION,15605
525+Bloor+Street+East+Toronto,BLOOR-YONGE+STATION,899
87+Pembroke+St+Toronto,BLOOR-YONGE+STATION,2014
101+Ontario+Street+Toronto,BLOOR-YONGE+STATION,2888
2808+Dundas+St+W+Toronto,BLOOR-YONGE+STATION,6697
723+Queen+Street+West+Toronto,BLOOR-YONGE+STATION,3942
107+Jarvis+Street+Toronto,BLOOR-YONGE+STATION,2559
Sherbourne+Street+Toronto,BLOOR-YONGE+STATION,1856
29+Leslie+Street+Toronto,BLOOR-YONGE+STATION,5861
2671+Islington+Avenue+Toronto,BLOOR-YONGE+STATION,19079
502+Spadina+Ave.+Toronto,BLOOR-YONGE+STATION,2278
191+Spadina+Road+Toronto,BLOOR-YONGE+STATION,2092
95+Wellesley+St.+E.+Toronto,BLOOR-YONGE+STATION,885
23+Grange+Road+Toronto,BLOOR-YONGE+STATION,2594
875+Queen+St+E+Toronto,BLOOR-YONGE+STATION,4633
7+Vanauley+Street+Toronto,BLOOR-YONGE+STATION,3300
21+Walmer+Rd.+Toronto,BLOOR-YONGE+STATION,1788
80+Woodlawn+Ave.+East+Toronto,BLOOR-YONGE+STATION,1738
6+Warrendale+Court+Etobicoke,BLOOR-YONGE+STATION,20477
348+Davenport+Rd.+Toronto,BLOOR-YONGE+STATION,1480
167+College+Street+Toronto,BLOOR-YONGE+STATION,1782
702+Kennedy+Road+Scarborough,BLOOR-YONGE+STATION,13269
265+Queens+Drive+Toronto,BLOOR-YONGE+STATION,12702
248+Dufferin+Street+Toronto,BLOOR-YONGE+STATION,6297
177+Caledonia+Rd+Toronto,BLOOR-YONGE+STATION,6929
747+Warden+Ave+Toronto,BLOOR-YONGE+STATION,11193
100+Lippincott+Street+Toronto,BROADVIEW+STATION,5493
973+Lansdowne+Avenue+Toronto,BROADVIEW+STATION,8075
43+Christie+Street+Toronto,BROADVIEW+STATION,5595
1229+Ellesmere+Road+Toronto,BROADVIEW+STATION,15641
1651+Sheppard+Ave+West+Toronto,BROADVIEW+STATION,17313
4222+Kingston+Road+Toronto,BROADVIEW+STATION,16943
38+Bathrust+St+Toronto,BROADVIEW+STATION,7099
291+Sherbourne+Street+Toronto,BROADVIEW+STATION,3014
3306+Kingston+Road+Toronto,BROADVIEW+STATION,13282
339+George+Street+Toronto,BROADVIEW+STATION,3220
129+Peter+St+Toronto,BROADVIEW+STATION,5751
674+Dundas+St.+W+Toronto,BROADVIEW+STATION,5915
616+Vaughan+Road+Toronto+Toronto,BROADVIEW+STATION,8340
20+Gerrard+Street+East+Toronto,BROADVIEW+STATION,3648
2714+Danforth+Avenue+Toronto,BROADVIEW+STATION,5048
349+George+Street+Toronto,BROADVIEW+STATION,3152
60+Brant+Street+Toronto,BROADVIEW+STATION,6266
360+Lesmill+Road+North+York,BROADVIEW+STATION,11603
25+Canterbury+Place+North+York,BROADVIEW+STATION,14165
"490+Sherbourne+Street,+2nd+floor+Toronto",BROADVIEW+STATION,2206
512+Jarvis+St.+Toronto,BROADVIEW+STATION,2418
86+Lombard+St.+Toronto,BROADVIEW+STATION,4200
1161+Caledonia+Road+Toronto,BROADVIEW+STATION,12662
412+Queen+Street+East+Toronto,BROADVIEW+STATION,3236
702+Kennedy+Rd+Toronto,BROADVIEW+STATION,11084
1322+Bloor+Street+West+Toronto,BROADVIEW+STATION,7488
3576+St.+Clair+Avenue+East+Scarborough,BROADVIEW+STATION,9946
805A+Wellington+Street+W+Toronto,BROADVIEW+STATION,7675
422+Gilbert+Avenue+Toronto,BROADVIEW+STATION,10766
1076+Pape+Avenue+Toronto,BROADVIEW+STATION,2086
14+Vaughan+Road+Toronto,BROADVIEW+STATION,6086
558+Bathurst+Street+Toronto,BROADVIEW+STATION,5469
126+Pape+Avenue+Toronto,BROADVIEW+STATION,2994
60+Newcastle+Street+Toronto,BROADVIEW+STATION,15349
70+Gerrard+St.+E.+Toronto,BROADVIEW+STATION,3371
3410+Bayview+Avenue+Toronto,BROADVIEW+STATION,15710
525+Bloor+Street+East+Toronto,BROADVIEW+STATION,1740
87+Pembroke+St+Toronto,BROADVIEW+STATION,3233
101+Ontario+Street+Toronto,BROADVIEW+STATION,3622
2808+Dundas+St+W+Toronto,BROADVIEW+STATION,9405
723+Queen+Street+West+Toronto,BROADVIEW+STATION,6745
107+Jarvis+Street+Toronto,BROADVIEW+STATION,4113
Sherbourne+Street+Toronto,BROADVIEW+STATION,2976
29+Leslie+Street+Toronto,BROADVIEW+STATION,3893
2671+Islington+Avenue+Toronto,BROADVIEW+STATION,21787
502+Spadina+Ave.+Toronto,BROADVIEW+STATION,4911
191+Spadina+Road+Toronto,BROADVIEW+STATION,4800
95+Wellesley+St.+E.+Toronto,BROADVIEW+STATION,2669
23+Grange+Road+Toronto,BROADVIEW+STATION,5163
875+Queen+St+E+Toronto,BROADVIEW+STATION,2830
7+Vanauley+Street+Toronto,BROADVIEW+STATION,6058
21+Walmer+Rd.+Toronto,BROADVIEW+STATION,4485
80+Woodlawn+Ave.+East+Toronto,BROADVIEW+STATION,4295
6+Warrendale+Court+Etobicoke,BROADVIEW+STATION,23185
348+Davenport+Rd.+Toronto,BROADVIEW+STATION,4188
167+College+Street+Toronto,BROADVIEW+STATION,4302
702+Kennedy+Road+Scarborough,BROADVIEW+STATION,11084
265+Queens+Drive+Toronto,BROADVIEW+STATION,15409
248+Dufferin+Street+Toronto,BROADVIEW+STATION,9029
177+Caledonia+Rd+Toronto,BROADVIEW+STATION,9637
747+Warden+Ave+Toronto,BROADVIEW+STATION,9008
100+Lippincott+Street+Toronto,CASTLE+FRANK+STATION,4372
973+Lansdowne+Avenue+Toronto,CASTLE+FRANK+STATION,6954
43+Christie+Street+Toronto,CASTLE+FRANK+STATION,4475
1229+Ellesmere+Road+Toronto,CASTLE+FRANK+STATION,16427
1651+Sheppard+Ave+West+Toronto,CASTLE+FRANK+STATION,16149
4222+Kingston+Road+Toronto,CASTLE+FRANK+STATION,17808
38+Bathrust+St+Toronto,CASTLE+FRANK+STATION,6003
291+Sherbourne+Street+Toronto,CASTLE+FRANK+STATION,1894
3306+Kingston+Road+Toronto,CASTLE+FRANK+STATION,14147
339+George+Street+Toronto,CASTLE+FRANK+STATION,2044
129+Peter+St+Toronto,CASTLE+FRANK+STATION,4576
674+Dundas+St.+W+Toronto,CASTLE+FRANK+STATION,4739
616+Vaughan+Road+Toronto+Toronto,CASTLE+FRANK+STATION,7220
20+Gerrard+Street+East+Toronto,CASTLE+FRANK+STATION,2472
2714+Danforth+Avenue+Toronto,CASTLE+FRANK+STATION,5913
349+George+Street+Toronto,CASTLE+FRANK+STATION,1976
60+Brant+Street+Toronto,CASTLE+FRANK+STATION,5090
360+Lesmill+Road+North+York,CASTLE+FRANK+STATION,12426
25+Canterbury+Place+North+York,CASTLE+FRANK+STATION,13001
"490+Sherbourne+Street,+2nd+floor+Toronto",CASTLE+FRANK+STATION,1086
512+Jarvis+St.+Toronto,CASTLE+FRANK+STATION,1298
86+Lombard+St.+Toronto,CASTLE+FRANK+STATION,3024
1161+Caledonia+Road+Toronto,CASTLE+FRANK+STATION,11541
412+Queen+Street+East+Toronto,CASTLE+FRANK+STATION,2377
702+Kennedy+Rd+Toronto,CASTLE+FRANK+STATION,11870
1322+Bloor+Street+West+Toronto,CASTLE+FRANK+STATION,6367
3576+St.+Clair+Avenue+East+Scarborough,CASTLE+FRANK+STATION,10811
805A+Wellington+Street+W+Toronto,CASTLE+FRANK+STATION,6499
422+Gilbert+Avenue+Toronto,CASTLE+FRANK+STATION,9646
1076+Pape+Avenue+Toronto,CASTLE+FRANK+STATION,2874
14+Vaughan+Road+Toronto,CASTLE+FRANK+STATION,4966
558+Bathurst+Street+Toronto,CASTLE+FRANK+STATION,4349
126+Pape+Avenue+Toronto,CASTLE+FRANK+STATION,3742
60+Newcastle+Street+Toronto,CASTLE+FRANK+STATION,14229
70+Gerrard+St.+E.+Toronto,CASTLE+FRANK+STATION,2195
3410+Bayview+Avenue+Toronto,CASTLE+FRANK+STATION,15141
525+Bloor+Street+East+Toronto,CASTLE+FRANK+STATION,619
87+Pembroke+St+Toronto,CASTLE+FRANK+STATION,2057
101+Ontario+Street+Toronto,CASTLE+FRANK+STATION,2502
2808+Dundas+St+W+Toronto,CASTLE+FRANK+STATION,8285
723+Queen+Street+West+Toronto,CASTLE+FRANK+STATION,5569
107+Jarvis+Street+Toronto,CASTLE+FRANK+STATION,2937
Sherbourne+Street+Toronto,CASTLE+FRANK+STATION,1805
29+Leslie+Street+Toronto,CASTLE+FRANK+STATION,4603
2671+Islington+Avenue+Toronto,CASTLE+FRANK+STATION,20666
502+Spadina+Ave.+Toronto,CASTLE+FRANK+STATION,3791
191+Spadina+Road+Toronto,CASTLE+FRANK+STATION,3680
95+Wellesley+St.+E.+Toronto,CASTLE+FRANK+STATION,1548
23+Grange+Road+Toronto,CASTLE+FRANK+STATION,3988
875+Queen+St+E+Toronto,CASTLE+FRANK+STATION,3479
7+Vanauley+Street+Toronto,CASTLE+FRANK+STATION,4882
21+Walmer+Rd.+Toronto,CASTLE+FRANK+STATION,3365
80+Woodlawn+Ave.+East+Toronto,CASTLE+FRANK+STATION,3132
6+Warrendale+Court+Etobicoke,CASTLE+FRANK+STATION,22064
348+Davenport+Rd.+Toronto,CASTLE+FRANK+STATION,3068
167+College+Street+Toronto,CASTLE+FRANK+STATION,3182
702+Kennedy+Road+Scarborough,CASTLE+FRANK+STATION,11870
265+Queens+Drive+Toronto,CASTLE+FRANK+STATION,14289
248+Dufferin+Street+Toronto,CASTLE+FRANK+STATION,7854
177+Caledonia+Rd+Toronto,CASTLE+FRANK+STATION,8516
747+Warden+Ave+Toronto,CASTLE+FRANK+STATION,9794
100+Lippincott+Street+Toronto,CHESTER+STATION,703052
973+Lansdowne+Avenue+Toronto,CHESTER+STATION,701609
43+Christie+Street+Toronto,CHESTER+STATION,702872
1229+Ellesmere+Road+Toronto,CHESTER+STATION,723412
1651+Sheppard+Ave+West+Toronto,CHESTER+STATION,709919
4222+Kingston+Road+Toronto,CHESTER+STATION,724225
38+Bathrust+St+Toronto,CHESTER+STATION,702395
291+Sherbourne+Street+Toronto,CHESTER+STATION,705566
3306+Kingston+Road+Toronto,CHESTER+STATION,720571
339+George+Street+Toronto,CHESTER+STATION,705376
129+Peter+St+Toronto,CHESTER+STATION,703005
674+Dundas+St.+W+Toronto,CHESTER+STATION,702770
