or,de,Distance
2671+Islington+Avenue+Toronto,DUNDAS+STATION,20277
502+Spadina+Ave.+Toronto,DUNDAS+STATION,2066
191+Spadina+Road+Toronto,DUNDAS+STATION,3602
95+Wellesley+St.+E.+Toronto,DUNDAS+STATION,1471
23+Grange+Road+Toronto,DUNDAS+STATION,1133
875+Queen+St+E+Toronto,DUNDAS+STATION,3355
7+Vanauley+Street+Toronto,DUNDAS+STATION,2057
21+Walmer+Rd.+Toronto,DUNDAS+STATION,3148
80+Woodlawn+Ave.+East+Toronto,DUNDAS+STATION,3455
6+Warrendale+Court+Etobicoke,DUNDAS+STATION,21675
348+Davenport+Rd.+Toronto,DUNDAS+STATION,3196
167+College+Street+Toronto,DUNDAS+STATION,1434
702+Kennedy+Road+Scarborough,DUNDAS+STATION,14735
265+Queens+Drive+Toronto,DUNDAS+STATION,13900
248+Dufferin+Street+Toronto,DUNDAS+STATION,5045
177+Caledonia+Rd+Toronto,DUNDAS+STATION,8644
747+Warden+Ave+Toronto,DUNDAS+STATION,12652
100+Lippincott+Street+Toronto,DUNDAS+WEST+STATION,4346
973+Lansdowne+Avenue+Toronto,DUNDAS+WEST+STATION,1608
43+Christie+Street+Toronto,DUNDAS+WEST+STATION,3058
1229+Ellesmere+Road+Toronto,DUNDAS+WEST+STATION,23598
1651+Sheppard+Ave+West+Toronto,DUNDAS+WEST+STATION,13289
4222+Kingston+Road+Toronto,DUNDAS+WEST+STATION,24979
38+Bathrust+St+Toronto,DUNDAS+WEST+STATION,5055
291+Sherbourne+Street+Toronto,DUNDAS+WEST+STATION,7245
3306+Kingston+Road+Toronto,DUNDAS+WEST+STATION,21318
339+George+Street+Toronto,DUNDAS+WEST+STATION,7176
129+Peter+St+Toronto,DUNDAS+WEST+STATION,5496
674+Dundas+St.+W+Toronto,DUNDAS+WEST+STATION,4396
616+Vaughan+Road+Toronto+Toronto,DUNDAS+WEST+STATION,5564
20+Gerrard+Street+East+Toronto,DUNDAS+WEST+STATION,6444
2714+Danforth+Avenue+Toronto,DUNDAS+WEST+STATION,13084
349+George+Street+Toronto,DUNDAS+WEST+STATION,7075
60+Brant+Street+Toronto,DUNDAS+WEST+STATION,5113
360+Lesmill+Road+North+York,DUNDAS+WEST+STATION,18574
25+Canterbury+Place+North+York,DUNDAS+WEST+STATION,17056
"490+Sherbourne+Street,+2nd+floor+Toronto",DUNDAS+WEST+STATION,6951
512+Jarvis+St.+Toronto,DUNDAS+WEST+STATION,6550
86+Lombard+St.+Toronto,DUNDAS+WEST+STATION,7196
1161+Caledonia+Road+Toronto,DUNDAS+WEST+STATION,7225
412+Queen+Street+East+Toronto,DUNDAS+WEST+STATION,8038
702+Kennedy+Rd+Toronto,DUNDAS+WEST+STATION,19041
1322+Bloor+Street+West+Toronto,DUNDAS+WEST+STATION,847
3576+St.+Clair+Avenue+East+Scarborough,DUNDAS+WEST+STATION,17982
805A+Wellington+Street+W+Toronto,DUNDAS+WEST+STATION,4475
422+Gilbert+Avenue+Toronto,DUNDAS+WEST+STATION,4180
1076+Pape+Avenue+Toronto,DUNDAS+WEST+STATION,10045
14+Vaughan+Road+Toronto,DUNDAS+WEST+STATION,5328
558+Bathurst+Street+Toronto,DUNDAS+WEST+STATION,4295
126+Pape+Avenue+Toronto,DUNDAS+WEST+STATION,10181
60+Newcastle+Street+Toronto,DUNDAS+WEST+STATION,7162
70+Gerrard+St.+E.+Toronto,DUNDAS+WEST+STATION,6721
3410+Bayview+Avenue+Toronto,DUNDAS+WEST+STATION,20896
525+Bloor+Street+East+Toronto,DUNDAS+WEST+STATION,6672
87+Pembroke+St+Toronto,DUNDAS+WEST+STATION,7168
101+Ontario+Street+Toronto,DUNDAS+WEST+STATION,7707
2808+Dundas+St+W+Toronto,DUNDAS+WEST+STATION,1373
723+Queen+Street+West+Toronto,DUNDAS+WEST+STATION,4353
107+Jarvis+Street+Toronto,DUNDAS+WEST+STATION,7300
Sherbourne+Street+Toronto,DUNDAS+WEST+STATION,7157
29+Leslie+Street+Toronto,DUNDAS+WEST+STATION,10909
2671+Islington+Avenue+Toronto,DUNDAS+WEST+STATION,14060
502+Spadina+Ave.+Toronto,DUNDAS+WEST+STATION,4824
191+Spadina+Road+Toronto,DUNDAS+WEST+STATION,4828
95+Wellesley+St.+E.+Toronto,DUNDAS+WEST+STATION,6535
23+Grange+Road+Toronto,DUNDAS+WEST+STATION,5534
875+Queen+St+E+Toronto,DUNDAS+WEST+STATION,9648
7+Vanauley+Street+Toronto,DUNDAS+WEST+STATION,5063
21+Walmer+Rd.+Toronto,DUNDAS+WEST+STATION,4195
80+Woodlawn+Ave.+East+Toronto,DUNDAS+WEST+STATION,7184
6+Warrendale+Court+Etobicoke,DUNDAS+WEST+STATION,15458
348+Davenport+Rd.+Toronto,DUNDAS+WEST+STATION,5434
167+College+Street+Toronto,DUNDAS+WEST+STATION,5301
702+Kennedy+Road+Scarborough,DUNDAS+WEST+STATION,19041
265+Queens+Drive+Toronto,DUNDAS+WEST+STATION,7682
248+Dufferin+Street+Toronto,DUNDAS+WEST+STATION,3447
177+Caledonia+Rd+Toronto,DUNDAS+WEST+STATION,3250
747+Warden+Ave+Toronto,DUNDAS+WEST+STATION,16965
100+Lippincott+Street+Toronto,DUPONT+STATION,2326
973+Lansdowne+Avenue+Toronto,DUPONT+STATION,3385
43+Christie+Street+Toronto,DUPONT+STATION,1943
1229+Ellesmere+Road+Toronto,DUPONT+STATION,18666
1651+Sheppard+Ave+West+Toronto,DUPONT+STATION,12894
4222+Kingston+Road+Toronto,DUPONT+STATION,21294
38+Bathrust+St+Toronto,DUPONT+STATION,4283
291+Sherbourne+Street+Toronto,DUPONT+STATION,4012
3306+Kingston+Road+Toronto,DUPONT+STATION,17634
339+George+Street+Toronto,DUPONT+STATION,3938
129+Peter+St+Toronto,DUPONT+STATION,3359
674+Dundas+St.+W+Toronto,DUPONT+STATION,2984
616+Vaughan+Road+Toronto+Toronto,DUPONT+STATION,3746
20+Gerrard+Street+East+Toronto,DUPONT+STATION,3354
2714+Danforth+Avenue+Toronto,DUPONT+STATION,9400
349+George+Street+Toronto,DUPONT+STATION,3869
60+Brant+Street+Toronto,DUPONT+STATION,3428
360+Lesmill+Road+North+York,DUPONT+STATION,13603
25+Canterbury+Place+North+York,DUPONT+STATION,12090
"490+Sherbourne+Street,+2nd+floor+Toronto",DUPONT+STATION,3266
512+Jarvis+St.+Toronto,DUPONT+STATION,2865
86+Lombard+St.+Toronto,DUPONT+STATION,4543
1161+Caledonia+Road+Toronto,DUPONT+STATION,8068
412+Queen+Street+East+Toronto,DUPONT+STATION,5236
702+Kennedy+Rd+Toronto,DUPONT+STATION,15356
1322+Bloor+Street+West+Toronto,DUPONT+STATION,4086
3576+St.+Clair+Avenue+East+Scarborough,DUPONT+STATION,14297
805A+Wellington+Street+W+Toronto,DUPONT+STATION,4819
422+Gilbert+Avenue+Toronto,DUPONT+STATION,6145
1076+Pape+Avenue+Toronto,DUPONT+STATION,6360
14+Vaughan+Road+Toronto,DUPONT+STATION,1465
558+Bathurst+Street+Toronto,DUPONT+STATION,2287
126+Pape+Avenue+Toronto,DUPONT+STATION,7117
60+Newcastle+Street+Toronto,DUPONT+STATION,11948
70+Gerrard+St.+E.+Toronto,DUPONT+STATION,3515
3410+Bayview+Avenue+Toronto,DUPONT+STATION,15925
525+Bloor+Street+East+Toronto,DUPONT+STATION,2987
87+Pembroke+St+Toronto,DUPONT+STATION,4082
101+Ontario+Street+Toronto,DUPONT+STATION,4956
2808+Dundas+St+W+Toronto,DUPONT+STATION,4716
723+Queen+Street+West+Toronto,DUPONT+STATION,3804
107+Jarvis+Street+Toronto,DUPONT+STATION,4626
Sherbourne+Street+Toronto,DUPONT+STATION,3923
29+Leslie+Street+Toronto,DUPONT+STATION,7949
2671+Islington+Avenue+Toronto,DUPONT+STATION,17166
502+Spadina+Ave.+Toronto,DUPONT+STATION,1930
191+Spadina+Road+Toronto,DUPONT+STATION,135
95+Wellesley+St.+E.+Toronto,DUPONT+STATION,2952
23+Grange+Road+Toronto,DUPONT+STATION,3106
875+Queen+St+E+Toronto,DUPONT+STATION,6721
7+Vanauley+Street+Toronto,DUPONT+STATION,3182
21+Walmer+Rd.+Toronto,DUPONT+STATION,899
80+Woodlawn+Ave.+East+Toronto,DUPONT+STATION,2168
6+Warrendale+Court+Etobicoke,DUPONT+STATION,18564
348+Davenport+Rd.+Toronto,DUPONT+STATION,462
167+College+Street+Toronto,DUPONT+STATION,2407
702+Kennedy+Road+Scarborough,DUPONT+STATION,15356
265+Queens+Drive+Toronto,DUPONT+STATION,10788
248+Dufferin+Street+Toronto,DUPONT+STATION,5910
177+Caledonia+Rd+Toronto,DUPONT+STATION,5016
747+Warden+Ave+Toronto,DUPONT+STATION,13280
100+Lippincott+Street+Toronto,EGLINTON+STATION,6657
973+Lansdowne+Avenue+Toronto,EGLINTON+STATION,7721
43+Christie+Street+Toronto,EGLINTON+STATION,6279
1229+Ellesmere+Road+Toronto,EGLINTON+STATION,14650
1651+Sheppard+Ave+West+Toronto,EGLINTON+STATION,11596
4222+Kingston+Road+Toronto,EGLINTON+STATION,18648
38+Bathrust+St+Toronto,EGLINTON+STATION,8619
291+Sherbourne+Street+Toronto,EGLINTON+STATION,6019
3306+Kingston+Road+Toronto,EGLINTON+STATION,16383
339+George+Street+Toronto,EGLINTON+STATION,5945
129+Peter+St+Toronto,EGLINTON+STATION,7163
674+Dundas+St.+W+Toronto,EGLINTON+STATION,7205
616+Vaughan+Road+Toronto+Toronto,EGLINTON+STATION,4388
20+Gerrard+Street+East+Toronto,EGLINTON+STATION,5362
2714+Danforth+Avenue+Toronto,EGLINTON+STATION,10246
349+George+Street+Toronto,EGLINTON+STATION,5877
60+Brant+Street+Toronto,EGLINTON+STATION,7602
360+Lesmill+Road+North+York,EGLINTON+STATION,9335
25+Canterbury+Place+North+York,EGLINTON+STATION,7623
"490+Sherbourne+Street,+2nd+floor+Toronto",EGLINTON+STATION,5274
512+Jarvis+St.+Toronto,EGLINTON+STATION,4872
86+Lombard+St.+Toronto,EGLINTON+STATION,6551
1161+Caledonia+Road+Toronto,EGLINTON+STATION,7144
412+Queen+Street+East+Toronto,EGLINTON+STATION,7243
702+Kennedy+Rd+Toronto,EGLINTON+STATION,12229
1322+Bloor+Street+West+Toronto,EGLINTON+STATION,8422
3576+St.+Clair+Avenue+East+Scarborough,EGLINTON+STATION,12853
805A+Wellington+Street+W+Toronto,EGLINTON+STATION,9155
422+Gilbert+Avenue+Toronto,EGLINTON+STATION,5958
1076+Pape+Avenue+Toronto,EGLINTON+STATION,5605
14+Vaughan+Road+Toronto,EGLINTON+STATION,4188
558+Bathurst+Street+Toronto,EGLINTON+STATION,6623
126+Pape+Avenue+Toronto,EGLINTON+STATION,9085
60+Newcastle+Street+Toronto,EGLINTON+STATION,16284
70+Gerrard+St.+E.+Toronto,EGLINTON+STATION,5522
3410+Bayview+Avenue+Toronto,EGLINTON+STATION,11618
525+Bloor+Street+East+Toronto,EGLINTON+STATION,4994
87+Pembroke+St+Toronto,EGLINTON+STATION,6089
101+Ontario+Street+Toronto,EGLINTON+STATION,6963
2808+Dundas+St+W+Toronto,EGLINTON+STATION,8987
723+Queen+Street+West+Toronto,EGLINTON+STATION,8140
107+Jarvis+Street+Toronto,EGLINTON+STATION,6634
Sherbourne+Street+Toronto,EGLINTON+STATION,5931
29+Leslie+Street+Toronto,EGLINTON+STATION,9705
2671+Islington+Avenue+Toronto,EGLINTON+STATION,16967
502+Spadina+Ave.+Toronto,EGLINTON+STATION,6261
191+Spadina+Road+Toronto,EGLINTON+STATION,4466
95+Wellesley+St.+E.+Toronto,EGLINTON+STATION,4960
23+Grange+Road+Toronto,EGLINTON+STATION,6641
875+Queen+St+E+Toronto,EGLINTON+STATION,8728
7+Vanauley+Street+Toronto,EGLINTON+STATION,7347
21+Walmer+Rd.+Toronto,EGLINTON+STATION,5230
80+Woodlawn+Ave.+East+Toronto,EGLINTON+STATION,2653
6+Warrendale+Court+Etobicoke,EGLINTON+STATION,18365
348+Davenport+Rd.+Toronto,EGLINTON+STATION,4040
167+College+Street+Toronto,EGLINTON+STATION,5829
702+Kennedy+Road+Scarborough,EGLINTON+STATION,12229
265+Queens+Drive+Toronto,EGLINTON+STATION,10183
248+Dufferin+Street+Toronto,EGLINTON+STATION,10246
177+Caledonia+Rd+Toronto,EGLINTON+STATION,6765
747+Warden+Ave+Toronto,EGLINTON+STATION,11178
100+Lippincott+Street+Toronto,EGLINTON+WEST+STATION,5667
973+Lansdowne+Avenue+Toronto,EGLINTON+WEST+STATION,5075
43+Christie+Street+Toronto,EGLINTON+WEST+STATION,4314
1229+Ellesmere+Road+Toronto,EGLINTON+WEST+STATION,17961
1651+Sheppard+Ave+West+Toronto,EGLINTON+WEST+STATION,9036
4222+Kingston+Road+Toronto,EGLINTON+WEST+STATION,21959
38+Bathrust+St+Toronto,EGLINTON+WEST+STATION,7436
291+Sherbourne+Street+Toronto,EGLINTON+WEST+STATION,8129
3306+Kingston+Road+Toronto,EGLINTON+WEST+STATION,19604
339+George+Street+Toronto,EGLINTON+WEST+STATION,8055
129+Peter+St+Toronto,EGLINTON+WEST+STATION,7603
674+Dundas+St.+W+Toronto,EGLINTON+WEST+STATION,6377
616+Vaughan+Road+Toronto+Toronto,EGLINTON+WEST+STATION,1232
20+Gerrard+Street+East+Toronto,EGLINTON+WEST+STATION,7471
2714+Danforth+Avenue+Toronto,EGLINTON+WEST+STATION,13517
349+George+Street+Toronto,EGLINTON+WEST+STATION,7986
60+Brant+Street+Toronto,EGLINTON+WEST+STATION,7218
360+Lesmill+Road+North+York,EGLINTON+WEST+STATION,12516
25+Canterbury+Place+North+York,EGLINTON+WEST+STATION,10666
"490+Sherbourne+Street,+2nd+floor+Toronto",EGLINTON+WEST+STATION,7383
512+Jarvis+St.+Toronto,EGLINTON+WEST+STATION,6982
86+Lombard+St.+Toronto,EGLINTON+WEST+STATION,8660
1161+Caledonia+Road+Toronto,EGLINTON+WEST+STATION,4384
412+Queen+Street+East+Toronto,EGLINTON+WEST+STATION,9353
702+Kennedy+Rd+Toronto,EGLINTON+WEST+STATION,15540
1322+Bloor+Street+West+Toronto,EGLINTON+WEST+STATION,6001
3576+St.+Clair+Avenue+East+Scarborough,EGLINTON+WEST+STATION,16073
805A+Wellington+Street+W+Toronto,EGLINTON+WEST+STATION,7366
422+Gilbert+Avenue+Toronto,EGLINTON+WEST+STATION,2708
1076+Pape+Avenue+Toronto,EGLINTON+WEST+STATION,8825
14+Vaughan+Road+Toronto,EGLINTON+WEST+STATION,2768
558+Bathurst+Street+Toronto,EGLINTON+WEST+STATION,5440
126+Pape+Avenue+Toronto,EGLINTON+WEST+STATION,11234
60+Newcastle+Street+Toronto,EGLINTON+WEST+STATION,13776
70+Gerrard+St.+E.+Toronto,EGLINTON+WEST+STATION,7632
3410+Bayview+Avenue+Toronto,EGLINTON+WEST+STATION,14929
525+Bloor+Street+East+Toronto,EGLINTON+WEST+STATION,7104
87+Pembroke+St+Toronto,EGLINTON+WEST+STATION,8199
101+Ontario+Street+Toronto,EGLINTON+WEST+STATION,9073
2808+Dundas+St+W+Toronto,EGLINTON+WEST+STATION,6060
723+Queen+Street+West+Toronto,EGLINTON+WEST+STATION,6957
107+Jarvis+Street+Toronto,EGLINTON+WEST+STATION,8743
Sherbourne+Street+Toronto,EGLINTON+WEST+STATION,8040
29+Leslie+Street+Toronto,EGLINTON+WEST+STATION,12066
2671+Islington+Avenue+Toronto,EGLINTON+WEST+STATION,13971
502+Spadina+Ave.+Toronto,EGLINTON+WEST+STATION,6240
191+Spadina+Road+Toronto,EGLINTON+WEST+STATION,4395
95+Wellesley+St.+E.+Toronto,EGLINTON+WEST+STATION,7069
23+Grange+Road+Toronto,EGLINTON+WEST+STATION,7367
875+Queen+St+E+Toronto,EGLINTON+WEST+STATION,10838
7+Vanauley+Street+Toronto,EGLINTON+WEST+STATION,7080
21+Walmer+Rd.+Toronto,EGLINTON+WEST+STATION,4944
80+Woodlawn+Ave.+East+Toronto,EGLINTON+WEST+STATION,5219
6+Warrendale+Court+Etobicoke,EGLINTON+WEST+STATION,15369
348+Davenport+Rd.+Toronto,EGLINTON+WEST+STATION,4579
167+College+Street+Toronto,EGLINTON+WEST+STATION,6668
702+Kennedy+Road+Scarborough,EGLINTON+WEST+STATION,15540
265+Queens+Drive+Toronto,EGLINTON+WEST+STATION,7187
248+Dufferin+Street+Toronto,EGLINTON+WEST+STATION,7879
177+Caledonia+Rd+Toronto,EGLINTON+WEST+STATION,3627
747+Warden+Ave+Toronto,EGLINTON+WEST+STATION,14489
100+Lippincott+Street+Toronto,ELLESMERE+STATION,20002
973+Lansdowne+Avenue+Toronto,ELLESMERE+STATION,21454
43+Christie+Street+Toronto,ELLESMERE+STATION,20105
1229+Ellesmere+Road+Toronto,ELLESMERE+STATION,722
1651+Sheppard+Ave+West+Toronto,ELLESMERE+STATION,19634
4222+Kingston+Road+Toronto,ELLESMERE+STATION,8036
38+Bathrust+St+Toronto,ELLESMERE+STATION,21609
291+Sherbourne+Street+Toronto,ELLESMERE+STATION,17524
3306+Kingston+Road+Toronto,ELLESMERE+STATION,7559
339+George+Street+Toronto,ELLESMERE+STATION,17730
129+Peter+St+Toronto,ELLESMERE+STATION,20261
674+Dundas+St.+W+Toronto,ELLESMERE+STATION,20425
616+Vaughan+Road+Toronto+Toronto,ELLESMERE+STATION,18366
20+Gerrard+Street+East+Toronto,ELLESMERE+STATION,18157
2714+Danforth+Avenue+Toronto,ELLESMERE+STATION,10782
349+George+Street+Toronto,ELLESMERE+STATION,17661
60+Brant+Street+Toronto,ELLESMERE+STATION,20775
360+Lesmill+Road+North+York,ELLESMERE+STATION,7861
25+Canterbury+Place+North+York,ELLESMERE+STATION,13687
"490+Sherbourne+Street,+2nd+floor+Toronto",ELLESMERE+STATION,16716
512+Jarvis+St.+Toronto,ELLESMERE+STATION,16928
86+Lombard+St.+Toronto,ELLESMERE+STATION,18710
1161+Caledonia+Road+Toronto,ELLESMERE+STATION,17902
412+Queen+Street+East+Toronto,ELLESMERE+STATION,17746
702+Kennedy+Rd+Toronto,ELLESMERE+STATION,4804
1322+Bloor+Street+West+Toronto,ELLESMERE+STATION,21998
3576+St.+Clair+Avenue+East+Scarborough,ELLESMERE+STATION,6371
805A+Wellington+Street+W+Toronto,ELLESMERE+STATION,22184
422+Gilbert+Avenue+Toronto,ELLESMERE+STATION,19937
1076+Pape+Avenue+Toronto,ELLESMERE+STATION,12817
14+Vaughan+Road+Toronto,ELLESMERE+STATION,17920
558+Bathurst+Street+Toronto,ELLESMERE+STATION,19979
126+Pape+Avenue+Toronto,ELLESMERE+STATION,15861
60+Newcastle+Street+Toronto,ELLESMERE+STATION,29859
70+Gerrard+St.+E.+Toronto,ELLESMERE+STATION,17880
3410+Bayview+Avenue+Toronto,ELLESMERE+STATION,13296
525+Bloor+Street+East+Toronto,ELLESMERE+STATION,16250
87+Pembroke+St+Toronto,ELLESMERE+STATION,17743
101+Ontario+Street+Toronto,ELLESMERE+STATION,18132
2808+Dundas+St+W+Toronto,ELLESMERE+STATION,22719
723+Queen+Street+West+Toronto,ELLESMERE+STATION,21255
107+Jarvis+Street+Toronto,ELLESMERE+STATION,18623
Sherbourne+Street+Toronto,ELLESMERE+STATION,17486
29+Leslie+Street+Toronto,ELLESMERE+STATION,15429
2671+Islington+Avenue+Toronto,ELLESMERE+STATION,26344
502+Spadina+Ave.+Toronto,ELLESMERE+STATION,19421
191+Spadina+Road+Toronto,ELLESMERE+STATION,18198
95+Wellesley+St.+E.+Toronto,ELLESMERE+STATION,17178
23+Grange+Road+Toronto,ELLESMERE+STATION,19673
875+Queen+St+E+Toronto,ELLESMERE+STATION,16412
7+Vanauley+Street+Toronto,ELLESMERE+STATION,20568
21+Walmer+Rd.+Toronto,ELLESMERE+STATION,18995
80+Woodlawn+Ave.+East+Toronto,ELLESMERE+STATION,16204
6+Warrendale+Court+Etobicoke,ELLESMERE+STATION,27741
348+Davenport+Rd.+Toronto,ELLESMERE+STATION,17772
167+College+Street+Toronto,ELLESMERE+STATION,18812
702+Kennedy+Road+Scarborough,ELLESMERE+STATION,4804
265+Queens+Drive+Toronto,ELLESMERE+STATION,21130
248+Dufferin+Street+Toronto,ELLESMERE+STATION,23539
177+Caledonia+Rd+Toronto,ELLESMERE+STATION,20744
747+Warden+Ave+Toronto,ELLESMERE+STATION,6902
100+Lippincott+Street+Toronto,FINCH+STATION,15723
973+Lansdowne+Avenue+Toronto,FINCH+STATION,16680
43+Christie+Street+Toronto,FINCH+STATION,15465
1229+Ellesmere+Road+Toronto,FINCH+STATION,14919
1651+Sheppard+Ave+West+Toronto,FINCH+STATION,9537
4222+Kingston+Road+Toronto,FINCH+STATION,22343
38+Bathrust+St+Toronto,FINCH+STATION,17801
291+Sherbourne+Street+Toronto,FINCH+STATION,14913
3306+Kingston+Road+Toronto,FINCH+STATION,21445
339+George+Street+Toronto,FINCH+STATION,15010
129+Peter+St+Toronto,FINCH+STATION,16228
674+Dundas+St.+W+Toronto,FINCH+STATION,16270
616+Vaughan+Road+Toronto+Toronto,FINCH+STATION,12964
20+Gerrard+Street+East+Toronto,FINCH+STATION,14427
2714+Danforth+Avenue+Toronto,FINCH+STATION,17864
349+George+Street+Toronto,FINCH+STATION,14942
60+Brant+Street+Toronto,FINCH+STATION,16667
360+Lesmill+Road+North+York,FINCH+STATION,6468
25+Canterbury+Place+North+York,FINCH+STATION,1210
"490+Sherbourne+Street,+2nd+floor+Toronto",FINCH+STATION,14075
512+Jarvis+St.+Toronto,FINCH+STATION,13938
86+Lombard+St.+Toronto,FINCH+STATION,15616
1161+Caledonia+Road+Toronto,FINCH+STATION,11268
412+Queen+Street+East+Toronto,FINCH+STATION,16044
702+Kennedy+Rd+Toronto,FINCH+STATION,17819
1322+Bloor+Street+West+Toronto,FINCH+STATION,17610
3576+St.+Clair+Avenue+East+Scarborough,FINCH+STATION,19386
805A+Wellington+Street+W+Toronto,FINCH+STATION,18337
422+Gilbert+Avenue+Toronto,FINCH+STATION,14305
1076+Pape+Avenue+Toronto,FINCH+STATION,14131
14+Vaughan+Road+Toronto,FINCH+STATION,13155
558+Bathurst+Street+Toronto,FINCH+STATION,15805
126+Pape+Avenue+Toronto,FINCH+STATION,17557
60+Newcastle+Street+Toronto,FINCH+STATION,25472
70+Gerrard+St.+E.+Toronto,FINCH+STATION,14588
3410+Bayview+Avenue+Toronto,FINCH+STATION,3168
525+Bloor+Street+East+Toronto,FINCH+STATION,13795
87+Pembroke+St+Toronto,FINCH+STATION,15155
101+Ontario+Street+Toronto,FINCH+STATION,15857
2808+Dundas+St+W+Toronto,FINCH+STATION,17657
723+Queen+Street+West+Toronto,FINCH+STATION,17322
107+Jarvis+Street+Toronto,FINCH+STATION,15699
Sherbourne+Street+Toronto,FINCH+STATION,14825
29+Leslie+Street+Toronto,FINCH+STATION,18230
2671+Islington+Avenue+Toronto,FINCH+STATION,14037
502+Spadina+Ave.+Toronto,FINCH+STATION,15326
191+Spadina+Road+Toronto,FINCH+STATION,13531
95+Wellesley+St.+E.+Toronto,FINCH+STATION,14025
23+Grange+Road+Toronto,FINCH+STATION,15706
875+Queen+St+E+Toronto,FINCH+STATION,17543
7+Vanauley+Street+Toronto,FINCH+STATION,16412
21+Walmer+Rd.+Toronto,FINCH+STATION,14295
80+Woodlawn+Ave.+East+Toronto,FINCH+STATION,11718
6+Warrendale+Court+Etobicoke,FINCH+STATION,15331
348+Davenport+Rd.+Toronto,FINCH+STATION,13105
167+College+Street+Toronto,FINCH+STATION,14894
702+Kennedy+Road+Scarborough,FINCH+STATION,17819
265+Queens+Drive+Toronto,FINCH+STATION,14170
248+Dufferin+Street+Toronto,FINCH+STATION,19435
177+Caledonia+Rd+Toronto,FINCH+STATION,15187
747+Warden+Ave+Toronto,FINCH+STATION,17278
100+Lippincott+Street+Toronto,FINCH+WEST+STATION,16565
973+Lansdowne+Avenue+Toronto,FINCH+WEST+STATION,12907
43+Christie+Street+Toronto,FINCH+WEST+STATION,15170
1229+Ellesmere+Road+Toronto,FINCH+WEST+STATION,21143
1651+Sheppard+Ave+West+Toronto,FINCH+WEST+STATION,3523
4222+Kingston+Road+Toronto,FINCH+WEST+STATION,28231
38+Bathrust+St+Toronto,FINCH+WEST+STATION,18114
291+Sherbourne+Street+Toronto,FINCH+WEST+STATION,18452
3306+Kingston+Road+Toronto,FINCH+WEST+STATION,27333
339+George+Street+Toronto,FINCH+WEST+STATION,18378
129+Peter+St+Toronto,FINCH+WEST+STATION,18171
674+Dundas+St.+W+Toronto,FINCH+WEST+STATION,17275
616+Vaughan+Road+Toronto+Toronto,FINCH+WEST+STATION,11382
20+Gerrard+Street+East+Toronto,FINCH+WEST+STATION,17795
2714+Danforth+Avenue+Toronto,FINCH+WEST+STATION,22842
349+George+Street+Toronto,FINCH+WEST+STATION,18309
60+Brant+Street+Toronto,FINCH+WEST+STATION,18117
360+Lesmill+Road+North+York,FINCH+WEST+STATION,12692
25+Canterbury+Place+North+York,FINCH+WEST+STATION,6863
"490+Sherbourne+Street,+2nd+floor+Toronto",FINCH+WEST+STATION,17706
512+Jarvis+St.+Toronto,FINCH+WEST+STATION,17305
86+Lombard+St.+Toronto,FINCH+WEST+STATION,18984
1161+Caledonia+Road+Toronto,FINCH+WEST+STATION,7931
412+Queen+Street+East+Toronto,FINCH+WEST+STATION,19676
702+Kennedy+Rd+Toronto,FINCH+WEST+STATION,23450
1322+Bloor+Street+West+Toronto,FINCH+WEST+STATION,13857
3576+St.+Clair+Avenue+East+Scarborough,FINCH+WEST+STATION,24905
805A+Wellington+Street+W+Toronto,FINCH+WEST+STATION,17534
422+Gilbert+Avenue+Toronto,FINCH+WEST+STATION,10081
1076+Pape+Avenue+Toronto,FINCH+WEST+STATION,18201
14+Vaughan+Road+Toronto,FINCH+WEST+STATION,13663
558+Bathurst+Street+Toronto,FINCH+WEST+STATION,16339
126+Pape+Avenue+Toronto,FINCH+WEST+STATION,21518
60+Newcastle+Street+Toronto,FINCH+WEST+STATION,19518
70+Gerrard+St.+E.+Toronto,FINCH+WEST+STATION,17955
3410+Bayview+Avenue+Toronto,FINCH+WEST+STATION,9825
525+Bloor+Street+East+Toronto,FINCH+WEST+STATION,17427
87+Pembroke+St+Toronto,FINCH+WEST+STATION,18522
101+Ontario+Street+Toronto,FINCH+WEST+STATION,19396
2808+Dundas+St+W+Toronto,FINCH+WEST+STATION,12218
723+Queen+Street+West+Toronto,FINCH+WEST+STATION,17412
107+Jarvis+Street+Toronto,FINCH+WEST+STATION,19067
Sherbourne+Street+Toronto,FINCH+WEST+STATION,18364
29+Leslie+Street+Toronto,FINCH+WEST+STATION,22300
2671+Islington+Avenue+Toronto,FINCH+WEST+STATION,7701
502+Spadina+Ave.+Toronto,FINCH+WEST+STATION,16742
191+Spadina+Road+Toronto,FINCH+WEST+STATION,14947
95+Wellesley+St.+E.+Toronto,FINCH+WEST+STATION,17393
23+Grange+Road+Toronto,FINCH+WEST+STATION,17919
875+Queen+St+E+Toronto,FINCH+WEST+STATION,21161
7+Vanauley+Street+Toronto,FINCH+WEST+STATION,17978
21+Walmer+Rd.+Toronto,FINCH+WEST+STATION,15843
80+Woodlawn+Ave.+East+Toronto,FINCH+WEST+STATION,15086
6+Warrendale+Court+Etobicoke,FINCH+WEST+STATION,8995
348+Davenport+Rd.+Toronto,FINCH+WEST+STATION,15130
167+College+Street+Toronto,FINCH+WEST+STATION,17220
702+Kennedy+Road+Scarborough,FINCH+WEST+STATION,23450
265+Queens+Drive+Toronto,FINCH+WEST+STATION,8156
