or,de,Time
291+Sherbourne+Street+Toronto,EGLINTON+WEST+STATION,6363
3306+Kingston+Road+Toronto,EGLINTON+WEST+STATION,14684
339+George+Street+Toronto,EGLINTON+WEST+STATION,6307
129+Peter+St+Toronto,EGLINTON+WEST+STATION,5957
674+Dundas+St.+W+Toronto,EGLINTON+WEST+STATION,4989
616+Vaughan+Road+Toronto+Toronto,EGLINTON+WEST+STATION,965
20+Gerrard+Street+East+Toronto,EGLINTON+WEST+STATION,5840
2714+Danforth+Avenue+Toronto,EGLINTON+WEST+STATION,10232
349+George+Street+Toronto,EGLINTON+WEST+STATION,6254
60+Brant+Street+Toronto,EGLINTON+WEST+STATION,5659
360+Lesmill+Road+North+York,EGLINTON+WEST+STATION,9521
25+Canterbury+Place+North+York,EGLINTON+WEST+STATION,8038
"490+Sherbourne+Street,+2nd+floor+Toronto",EGLINTON+WEST+STATION,5726
512+Jarvis+St.+Toronto,EGLINTON+WEST+STATION,5426
86+Lombard+St.+Toronto,EGLINTON+WEST+STATION,6792
1161+Caledonia+Road+Toronto,EGLINTON+WEST+STATION,3287
412+Queen+Street+East+Toronto,EGLINTON+WEST+STATION,7310
702+Kennedy+Rd+Toronto,EGLINTON+WEST+STATION,11791
1322+Bloor+Street+West+Toronto,EGLINTON+WEST+STATION,4659
3576+St.+Clair+Avenue+East+Scarborough,EGLINTON+WEST+STATION,12097
805A+Wellington+Street+W+Toronto,EGLINTON+WEST+STATION,5768
422+Gilbert+Avenue+Toronto,EGLINTON+WEST+STATION,2121
1076+Pape+Avenue+Toronto,EGLINTON+WEST+STATION,6800
14+Vaughan+Road+Toronto,EGLINTON+WEST+STATION,2136
558+Bathurst+Street+Toronto,EGLINTON+WEST+STATION,4265
126+Pape+Avenue+Toronto,EGLINTON+WEST+STATION,8680
60+Newcastle+Street+Toronto,EGLINTON+WEST+STATION,10469
70+Gerrard+St.+E.+Toronto,EGLINTON+WEST+STATION,5967
3410+Bayview+Avenue+Toronto,EGLINTON+WEST+STATION,11218
525+Bloor+Street+East+Toronto,EGLINTON+WEST+STATION,5520
87+Pembroke+St+Toronto,EGLINTON+WEST+STATION,6410
101+Ontario+Street+Toronto,EGLINTON+WEST+STATION,7104
2808+Dundas+St+W+Toronto,EGLINTON+WEST+STATION,4690
723+Queen+Street+West+Toronto,EGLINTON+WEST+STATION,5440
107+Jarvis+Street+Toronto,EGLINTON+WEST+STATION,6864
Sherbourne+Street+Toronto,EGLINTON+WEST+STATION,6274
29+Leslie+Street+Toronto,EGLINTON+WEST+STATION,9343
2671+Islington+Avenue+Toronto,EGLINTON+WEST+STATION,10452
502+Spadina+Ave.+Toronto,EGLINTON+WEST+STATION,4865
191+Spadina+Road+Toronto,EGLINTON+WEST+STATION,3474
95+Wellesley+St.+E.+Toronto,EGLINTON+WEST+STATION,5508
23+Grange+Road+Toronto,EGLINTON+WEST+STATION,5751
875+Queen+St+E+Toronto,EGLINTON+WEST+STATION,8416
7+Vanauley+Street+Toronto,EGLINTON+WEST+STATION,5532
21+Walmer+Rd.+Toronto,EGLINTON+WEST+STATION,3879
80+Woodlawn+Ave.+East+Toronto,EGLINTON+WEST+STATION,4045
6+Warrendale+Court+Etobicoke,EGLINTON+WEST+STATION,11499
348+Davenport+Rd.+Toronto,EGLINTON+WEST+STATION,3593
167+College+Street+Toronto,EGLINTON+WEST+STATION,5214
702+Kennedy+Road+Scarborough,EGLINTON+WEST+STATION,11791
265+Queens+Drive+Toronto,EGLINTON+WEST+STATION,5508
248+Dufferin+Street+Toronto,EGLINTON+WEST+STATION,6121
177+Caledonia+Rd+Toronto,EGLINTON+WEST+STATION,2811
747+Warden+Ave+Toronto,EGLINTON+WEST+STATION,11022
100+Lippincott+Street+Toronto,ELLESMERE+STATION,15044
973+Lansdowne+Avenue+Toronto,ELLESMERE+STATION,16183
43+Christie+Street+Toronto,ELLESMERE+STATION,15100
1229+Ellesmere+Road+Toronto,ELLESMERE+STATION,532
1651+Sheppard+Ave+West+Toronto,ELLESMERE+STATION,14709
4222+Kingston+Road+Toronto,ELLESMERE+STATION,6023
38+Bathrust+St+Toronto,ELLESMERE+STATION,16356
291+Sherbourne+Street+Toronto,ELLESMERE+STATION,13202
3306+Kingston+Road+Toronto,ELLESMERE+STATION,5542
339+George+Street+Toronto,ELLESMERE+STATION,13346
129+Peter+St+Toronto,ELLESMERE+STATION,15267
674+Dundas+St.+W+Toronto,ELLESMERE+STATION,15389
616+Vaughan+Road+Toronto+Toronto,ELLESMERE+STATION,13738
20+Gerrard+Street+East+Toronto,ELLESMERE+STATION,13655
2714+Danforth+Avenue+Toronto,ELLESMERE+STATION,8154
349+George+Street+Toronto,ELLESMERE+STATION,13294
60+Brant+Street+Toronto,ELLESMERE+STATION,15676
360+Lesmill+Road+North+York,ELLESMERE+STATION,5925
25+Canterbury+Place+North+York,ELLESMERE+STATION,10197
"490+Sherbourne+Street,+2nd+floor+Toronto",ELLESMERE+STATION,12556
512+Jarvis+St.+Toronto,ELLESMERE+STATION,12714
86+Lombard+St.+Toronto,ELLESMERE+STATION,14132
1161+Caledonia+Road+Toronto,ELLESMERE+STATION,13350
412+Queen+Street+East+Toronto,ELLESMERE+STATION,13377
702+Kennedy+Rd+Toronto,ELLESMERE+STATION,3594
1322+Bloor+Street+West+Toronto,ELLESMERE+STATION,16544
3576+St.+Clair+Avenue+East+Scarborough,ELLESMERE+STATION,4752
805A+Wellington+Street+W+Toronto,ELLESMERE+STATION,16764
422+Gilbert+Avenue+Toronto,ELLESMERE+STATION,14990
1076+Pape+Avenue+Toronto,ELLESMERE+STATION,9620
14+Vaughan+Road+Toronto,ELLESMERE+STATION,13445
558+Bathurst+Street+Toronto,ELLESMERE+STATION,15031
126+Pape+Avenue+Toronto,ELLESMERE+STATION,12045
60+Newcastle+Street+Toronto,ELLESMERE+STATION,22418
70+Gerrard+St.+E.+Toronto,ELLESMERE+STATION,13448
3410+Bayview+Avenue+Toronto,ELLESMERE+STATION,10025
525+Bloor+Street+East+Toronto,ELLESMERE+STATION,12191
87+Pembroke+St+Toronto,ELLESMERE+STATION,13364
101+Ontario+Street+Toronto,ELLESMERE+STATION,13679
2808+Dundas+St+W+Toronto,ELLESMERE+STATION,17114
723+Queen+Street+West+Toronto,ELLESMERE+STATION,16021
107+Jarvis+Street+Toronto,ELLESMERE+STATION,14058
Sherbourne+Street+Toronto,ELLESMERE+STATION,13147
29+Leslie+Street+Toronto,ELLESMERE+STATION,11706
2671+Islington+Avenue+Toronto,ELLESMERE+STATION,19714
502+Spadina+Ave.+Toronto,ELLESMERE+STATION,14643
191+Spadina+Road+Toronto,ELLESMERE+STATION,13733
95+Wellesley+St.+E.+Toronto,ELLESMERE+STATION,12913
23+Grange+Road+Toronto,ELLESMERE+STATION,14825
875+Queen+St+E+Toronto,ELLESMERE+STATION,12449
7+Vanauley+Street+Toronto,ELLESMERE+STATION,15522
21+Walmer+Rd.+Toronto,ELLESMERE+STATION,14268
80+Woodlawn+Ave.+East+Toronto,ELLESMERE+STATION,12172
6+Warrendale+Court+Etobicoke,ELLESMERE+STATION,20760
348+Davenport+Rd.+Toronto,ELLESMERE+STATION,13409
167+College+Street+Toronto,ELLESMERE+STATION,14185
702+Kennedy+Road+Scarborough,ELLESMERE+STATION,3594
265+Queens+Drive+Toronto,ELLESMERE+STATION,15906
248+Dufferin+Street+Toronto,ELLESMERE+STATION,17761
177+Caledonia+Rd+Toronto,ELLESMERE+STATION,15572
747+Warden+Ave+Toronto,ELLESMERE+STATION,5152
100+Lippincott+Street+Toronto,FINCH+STATION,12007
973+Lansdowne+Avenue+Toronto,FINCH+STATION,12636
43+Christie+Street+Toronto,FINCH+STATION,11770
1229+Ellesmere+Road+Toronto,FINCH+STATION,11216
1651+Sheppard+Ave+West+Toronto,FINCH+STATION,7181
4222+Kingston+Road+Toronto,FINCH+STATION,16815
38+Bathrust+St+Toronto,FINCH+STATION,13605
291+Sherbourne+Street+Toronto,FINCH+STATION,11453
3306+Kingston+Road+Toronto,FINCH+STATION,16013
339+George+Street+Toronto,FINCH+STATION,11562
129+Peter+St+Toronto,FINCH+STATION,12484
674+Dundas+St.+W+Toronto,FINCH+STATION,12496
616+Vaughan+Road+Toronto+Toronto,FINCH+STATION,9759
20+Gerrard+Street+East+Toronto,FINCH+STATION,11096
2714+Danforth+Avenue+Toronto,FINCH+STATION,13494
349+George+Street+Toronto,FINCH+STATION,11510
60+Brant+Street+Toronto,FINCH+STATION,12845
360+Lesmill+Road+North+York,FINCH+STATION,4988
25+Canterbury+Place+North+York,FINCH+STATION,958
"490+Sherbourne+Street,+2nd+floor+Toronto",FINCH+STATION,10777
512+Jarvis+St.+Toronto,FINCH+STATION,10682
86+Lombard+St.+Toronto,FINCH+STATION,12048
1161+Caledonia+Road+Toronto,FINCH+STATION,8401
412+Queen+Street+East+Toronto,FINCH+STATION,12352
702+Kennedy+Rd+Toronto,FINCH+STATION,13407
1322+Bloor+Street+West+Toronto,FINCH+STATION,13406
3576+St.+Clair+Avenue+East+Scarborough,FINCH+STATION,14565
805A+Wellington+Street+W+Toronto,FINCH+STATION,13994
422+Gilbert+Avenue+Toronto,FINCH+STATION,10787
1076+Pape+Avenue+Toronto,FINCH+STATION,10733
14+Vaughan+Road+Toronto,FINCH+STATION,9959
558+Bathurst+Street+Toronto,FINCH+STATION,12042
126+Pape+Avenue+Toronto,FINCH+STATION,13479
60+Newcastle+Street+Toronto,FINCH+STATION,19292
70+Gerrard+St.+E.+Toronto,FINCH+STATION,11223
3410+Bayview+Avenue+Toronto,FINCH+STATION,2416
525+Bloor+Street+East+Toronto,FINCH+STATION,10563
87+Pembroke+St+Toronto,FINCH+STATION,11666
101+Ontario+Street+Toronto,FINCH+STATION,12195
2808+Dundas+St+W+Toronto,FINCH+STATION,13356
723+Queen+Street+West+Toronto,FINCH+STATION,13218
107+Jarvis+Street+Toronto,FINCH+STATION,12120
Sherbourne+Street+Toronto,FINCH+STATION,11375
29+Leslie+Street+Toronto,FINCH+STATION,13908
2671+Islington+Avenue+Toronto,FINCH+STATION,10737
502+Spadina+Ave.+Toronto,FINCH+STATION,11713
191+Spadina+Road+Toronto,FINCH+STATION,10338
95+Wellesley+St.+E.+Toronto,FINCH+STATION,10764
23+Grange+Road+Toronto,FINCH+STATION,12065
875+Queen+St+E+Toronto,FINCH+STATION,13442
7+Vanauley+Street+Toronto,FINCH+STATION,12627
21+Walmer+Rd.+Toronto,FINCH+STATION,10915
80+Woodlawn+Ave.+East+Toronto,FINCH+STATION,8959
6+Warrendale+Court+Etobicoke,FINCH+STATION,11705
348+Davenport+Rd.+Toronto,FINCH+STATION,10014
167+College+Street+Toronto,FINCH+STATION,11440
702+Kennedy+Road+Scarborough,FINCH+STATION,13407
265+Queens+Drive+Toronto,FINCH+STATION,10704
248+Dufferin+Street+Toronto,FINCH+STATION,14823
177+Caledonia+Rd+Toronto,FINCH+STATION,11464
747+Warden+Ave+Toronto,FINCH+STATION,13027
100+Lippincott+Street+Toronto,FINCH+WEST+STATION,12599
973+Lansdowne+Avenue+Toronto,FINCH+WEST+STATION,9873
43+Christie+Street+Toronto,FINCH+WEST+STATION,11553
1229+Ellesmere+Road+Toronto,FINCH+WEST+STATION,15925
1651+Sheppard+Ave+West+Toronto,FINCH+WEST+STATION,2702
4222+Kingston+Road+Toronto,FINCH+WEST+STATION,21349
38+Bathrust+St+Toronto,FINCH+WEST+STATION,13772
291+Sherbourne+Street+Toronto,FINCH+WEST+STATION,14047
3306+Kingston+Road+Toronto,FINCH+WEST+STATION,20547
339+George+Street+Toronto,FINCH+WEST+STATION,13991
129+Peter+St+Toronto,FINCH+WEST+STATION,13852
674+Dundas+St.+W+Toronto,FINCH+WEST+STATION,13150
616+Vaughan+Road+Toronto+Toronto,FINCH+WEST+STATION,8561
20+Gerrard+Street+East+Toronto,FINCH+WEST+STATION,13524
2714+Danforth+Avenue+Toronto,FINCH+WEST+STATION,17165
349+George+Street+Toronto,FINCH+WEST+STATION,13938
60+Brant+Street+Toronto,FINCH+WEST+STATION,13820
360+Lesmill+Road+North+York,FINCH+WEST+STATION,9697
25+Canterbury+Place+North+York,FINCH+WEST+STATION,5179
"490+Sherbourne+Street,+2nd+floor+Toronto",FINCH+WEST+STATION,13410
512+Jarvis+St.+Toronto,FINCH+WEST+STATION,13110
86+Lombard+St.+Toronto,FINCH+WEST+STATION,14476
1161+Caledonia+Road+Toronto,FINCH+WEST+STATION,5924
412+Queen+Street+East+Toronto,FINCH+WEST+STATION,14994
702+Kennedy+Rd+Toronto,FINCH+WEST+STATION,17708
1322+Bloor+Street+West+Toronto,FINCH+WEST+STATION,10515
3576+St.+Clair+Avenue+East+Scarborough,FINCH+WEST+STATION,18778
805A+Wellington+Street+W+Toronto,FINCH+WEST+STATION,13334
422+Gilbert+Avenue+Toronto,FINCH+WEST+STATION,7662
1076+Pape+Avenue+Toronto,FINCH+WEST+STATION,13783
14+Vaughan+Road+Toronto,FINCH+WEST+STATION,10299
558+Bathurst+Street+Toronto,FINCH+WEST+STATION,12426
126+Pape+Avenue+Toronto,FINCH+WEST+STATION,16294
60+Newcastle+Street+Toronto,FINCH+WEST+STATION,14898
70+Gerrard+St.+E.+Toronto,FINCH+WEST+STATION,13651
3410+Bayview+Avenue+Toronto,FINCH+WEST+STATION,7359
525+Bloor+Street+East+Toronto,FINCH+WEST+STATION,13204
87+Pembroke+St+Toronto,FINCH+WEST+STATION,14095
101+Ontario+Street+Toronto,FINCH+WEST+STATION,14788
2808+Dundas+St+W+Toronto,FINCH+WEST+STATION,9325
723+Queen+Street+West+Toronto,FINCH+WEST+STATION,13224
107+Jarvis+Street+Toronto,FINCH+WEST+STATION,14548
Sherbourne+Street+Toronto,FINCH+WEST+STATION,13958
29+Leslie+Street+Toronto,FINCH+WEST+STATION,16957
2671+Islington+Avenue+Toronto,FINCH+WEST+STATION,5959
502+Spadina+Ave.+Toronto,FINCH+WEST+STATION,12730
191+Spadina+Road+Toronto,FINCH+WEST+STATION,11359
95+Wellesley+St.+E.+Toronto,FINCH+WEST+STATION,13192
23+Grange+Road+Toronto,FINCH+WEST+STATION,13636
875+Queen+St+E+Toronto,FINCH+WEST+STATION,16100
7+Vanauley+Street+Toronto,FINCH+WEST+STATION,13694
21+Walmer+Rd.+Toronto,FINCH+WEST+STATION,12040
80+Woodlawn+Ave.+East+Toronto,FINCH+WEST+STATION,11387
6+Warrendale+Court+Etobicoke,FINCH+WEST+STATION,6928
348+Davenport+Rd.+Toronto,FINCH+WEST+STATION,11478
167+College+Street+Toronto,FINCH+WEST+STATION,13099
702+Kennedy+Road+Scarborough,FINCH+WEST+STATION,17708
265+Queens+Drive+Toronto,FINCH+WEST+STATION,6225
248+Dufferin+Street+Toronto,FINCH+WEST+STATION,12542
177+Caledonia+Rd+Toronto,FINCH+WEST+STATION,8243
747+Warden+Ave+Toronto,FINCH+WEST+STATION,16939
100+Lippincott+Street+Toronto,GLENCAIRN+STATION,5394
973+Lansdowne+Avenue+Toronto,GLENCAIRN+STATION,4790
43+Christie+Street+Toronto,GLENCAIRN+STATION,4574
1229+Ellesmere+Road+Toronto,GLENCAIRN+STATION,13211
1651+Sheppard+Ave+West+Toronto,GLENCAIRN+STATION,5795
4222+Kingston+Road+Toronto,GLENCAIRN+STATION,16994
38+Bathrust+St+Toronto,GLENCAIRN+STATION,6782
291+Sherbourne+Street+Toronto,GLENCAIRN+STATION,7274
3306+Kingston+Road+Toronto,GLENCAIRN+STATION,15236
339+George+Street+Toronto,GLENCAIRN+STATION,7218
129+Peter+St+Toronto,GLENCAIRN+STATION,6912
674+Dundas+St.+W+Toronto,GLENCAIRN+STATION,5944
616+Vaughan+Road+Toronto+Toronto,GLENCAIRN+STATION,1849
20+Gerrard+Street+East+Toronto,GLENCAIRN+STATION,6707
2714+Danforth+Avenue+Toronto,GLENCAIRN+STATION,10735
349+George+Street+Toronto,GLENCAIRN+STATION,7165
60+Brant+Street+Toronto,GLENCAIRN+STATION,6614
360+Lesmill+Road+North+York,GLENCAIRN+STATION,8568
25+Canterbury+Place+North+York,GLENCAIRN+STATION,7060
"490+Sherbourne+Street,+2nd+floor+Toronto",GLENCAIRN+STATION,6637
512+Jarvis+St.+Toronto,GLENCAIRN+STATION,6338
86+Lombard+St.+Toronto,GLENCAIRN+STATION,7703
1161+Caledonia+Road+Toronto,GLENCAIRN+STATION,2293
412+Queen+Street+East+Toronto,GLENCAIRN+STATION,8221
702+Kennedy+Rd+Toronto,GLENCAIRN+STATION,12294
1322+Bloor+Street+West+Toronto,GLENCAIRN+STATION,5509
3576+St.+Clair+Avenue+East+Scarborough,GLENCAIRN+STATION,12649
805A+Wellington+Street+W+Toronto,GLENCAIRN+STATION,6707
422+Gilbert+Avenue+Toronto,GLENCAIRN+STATION,2936
1076+Pape+Avenue+Toronto,GLENCAIRN+STATION,7352
14+Vaughan+Road+Toronto,GLENCAIRN+STATION,3092
558+Bathurst+Street+Toronto,GLENCAIRN+STATION,5220
126+Pape+Avenue+Toronto,GLENCAIRN+STATION,9477
60+Newcastle+Street+Toronto,GLENCAIRN+STATION,11326
70+Gerrard+St.+E.+Toronto,GLENCAIRN+STATION,6878
3410+Bayview+Avenue+Toronto,GLENCAIRN+STATION,10239
525+Bloor+Street+East+Toronto,GLENCAIRN+STATION,6431
87+Pembroke+St+Toronto,GLENCAIRN+STATION,7322
101+Ontario+Street+Toronto,GLENCAIRN+STATION,8015
2808+Dundas+St+W+Toronto,GLENCAIRN+STATION,5547
723+Queen+Street+West+Toronto,GLENCAIRN+STATION,6396
107+Jarvis+Street+Toronto,GLENCAIRN+STATION,7775
Sherbourne+Street+Toronto,GLENCAIRN+STATION,7186
29+Leslie+Street+Toronto,GLENCAIRN+STATION,10149
2671+Islington+Avenue+Toronto,GLENCAIRN+STATION,10095
502+Spadina+Ave.+Toronto,GLENCAIRN+STATION,5819
191+Spadina+Road+Toronto,GLENCAIRN+STATION,4447
95+Wellesley+St.+E.+Toronto,GLENCAIRN+STATION,6419
23+Grange+Road+Toronto,GLENCAIRN+STATION,6725
875+Queen+St+E+Toronto,GLENCAIRN+STATION,9327
7+Vanauley+Street+Toronto,GLENCAIRN+STATION,6488
21+Walmer+Rd.+Toronto,GLENCAIRN+STATION,4834
80+Woodlawn+Ave.+East+Toronto,GLENCAIRN+STATION,4570
6+Warrendale+Court+Etobicoke,GLENCAIRN+STATION,11141
348+Davenport+Rd.+Toronto,GLENCAIRN+STATION,4567
167+College+Street+Toronto,GLENCAIRN+STATION,6187
702+Kennedy+Road+Scarborough,GLENCAIRN+STATION,12294
265+Queens+Drive+Toronto,GLENCAIRN+STATION,4700
248+Dufferin+Street+Toronto,GLENCAIRN+STATION,6971
177+Caledonia+Rd+Toronto,GLENCAIRN+STATION,3633
747+Warden+Ave+Toronto,GLENCAIRN+STATION,11525
100+Lippincott+Street+Toronto,GREENWOOD+STATION,559677
973+Lansdowne+Avenue+Toronto,GREENWOOD+STATION,557640
43+Christie+Street+Toronto,GREENWOOD+STATION,558786
1229+Ellesmere+Road+Toronto,GREENWOOD+STATION,573081
1651+Sheppard+Ave+West+Toronto,GREENWOOD+STATION,562302
4222+Kingston+Road+Toronto,GREENWOOD+STATION,575130
38+Bathrust+St+Toronto,GREENWOOD+STATION,559388
291+Sherbourne+Street+Toronto,GREENWOOD+STATION,561900
3306+Kingston+Road+Toronto,GREENWOOD+STATION,572283
339+George+Street+Toronto,GREENWOOD+STATION,561759
129+Peter+St+Toronto,GREENWOOD+STATION,559953
674+Dundas+St.+W+Toronto,GREENWOOD+STATION,559663
616+Vaughan+Road+Toronto+Toronto,GREENWOOD+STATION,559366
20+Gerrard+Street+East+Toronto,GREENWOOD+STATION,561314
2714+Danforth+Avenue+Toronto,GREENWOOD+STATION,566240
349+George+Street+Toronto,GREENWOOD+STATION,561806
60+Brant+Street+Toronto,GREENWOOD+STATION,559655
360+Lesmill+Road+North+York,GREENWOOD+STATION,569276
25+Canterbury+Place+North+York,GREENWOOD+STATION,614691
"490+Sherbourne+Street,+2nd+floor+Toronto",GREENWOOD+STATION,561724
512+Jarvis+St.+Toronto,GREENWOOD+STATION,561418
86+Lombard+St.+Toronto,GREENWOOD+STATION,561261
1161+Caledonia+Road+Toronto,GREENWOOD+STATION,560169
412+Queen+Street+East+Toronto,GREENWOOD+STATION,561910
702+Kennedy+Rd+Toronto,GREENWOOD+STATION,570599
1322+Bloor+Street+West+Toronto,GREENWOOD+STATION,557112
3576+St.+Clair+Avenue+East+Scarborough,GREENWOOD+STATION,569886
805A+Wellington+Street+W+Toronto,GREENWOOD+STATION,558782
422+Gilbert+Avenue+Toronto,GREENWOOD+STATION,558225
1076+Pape+Avenue+Toronto,GREENWOOD+STATION,563983
14+Vaughan+Road+Toronto,GREENWOOD+STATION,559427
558+Bathurst+Street+Toronto,GREENWOOD+STATION,559705
126+Pape+Avenue+Toronto,GREENWOOD+STATION,563601
60+Newcastle+Street+Toronto,GREENWOOD+STATION,552822
70+Gerrard+St.+E.+Toronto,GREENWOOD+STATION,561526
3410+Bayview+Avenue+Toronto,GREENWOOD+STATION,615867
525+Bloor+Street+East+Toronto,GREENWOOD+STATION,561518
87+Pembroke+St+Toronto,GREENWOOD+STATION,561773
101+Ontario+Street+Toronto,GREENWOOD+STATION,561647
2808+Dundas+St+W+Toronto,GREENWOOD+STATION,556518
723+Queen+Street+West+Toronto,GREENWOOD+STATION,559073
107+Jarvis+Street+Toronto,GREENWOOD+STATION,561343
Sherbourne+Street+Toronto,GREENWOOD+STATION,561860
29+Leslie+Street+Toronto,GREENWOOD+STATION,564082
2671+Islington+Avenue+Toronto,GREENWOOD+STATION,605056
502+Spadina+Ave.+Toronto,GREENWOOD+STATION,560037
191+Spadina+Road+Toronto,GREENWOOD+STATION,560108
95+Wellesley+St.+E.+Toronto,GREENWOOD+STATION,561428
23+Grange+Road+Toronto,GREENWOOD+STATION,560270
875+Queen+St+E+Toronto,GREENWOOD+STATION,563121
7+Vanauley+Street+Toronto,GREENWOOD+STATION,559595
21+Walmer+Rd.+Toronto,GREENWOOD+STATION,559635
80+Woodlawn+Ave.+East+Toronto,GREENWOOD+STATION,561486
6+Warrendale+Court+Etobicoke,GREENWOOD+STATION,604125
348+Davenport+Rd.+Toronto,GREENWOOD+STATION,560453
167+College+Street+Toronto,GREENWOOD+STATION,560429
702+Kennedy+Road+Scarborough,GREENWOOD+STATION,570599
265+Queens+Drive+Toronto,GREENWOOD+STATION,558203
248+Dufferin+Street+Toronto,GREENWOOD+STATION,557792
177+Caledonia+Rd+Toronto,GREENWOOD+STATION,557557
747+Warden+Ave+Toronto,GREENWOOD+STATION,569067
100+Lippincott+Street+Toronto,HIGH+PARK+STATION,4180
973+Lansdowne+Avenue+Toronto,HIGH+PARK+STATION,2232
43+Christie+Street+Toronto,HIGH+PARK+STATION,3214
1229+Ellesmere+Road+Toronto,HIGH+PARK+STATION,18390
1651+Sheppard+Ave+West+Toronto,HIGH+PARK+STATION,9850
4222+Kingston+Road+Toronto,HIGH+PARK+STATION,19558
38+Bathrust+St+Toronto,HIGH+PARK+STATION,4754
291+Sherbourne+Street+Toronto,HIGH+PARK+STATION,6451
3306+Kingston+Road+Toronto,HIGH+PARK+STATION,16711
339+George+Street+Toronto,HIGH+PARK+STATION,6389
129+Peter+St+Toronto,HIGH+PARK+STATION,5086
674+Dundas+St.+W+Toronto,HIGH+PARK+STATION,4244
616+Vaughan+Road+Toronto+Toronto,HIGH+PARK+STATION,4864
20+Gerrard+Street+East+Toronto,HIGH+PARK+STATION,5816
2714+Danforth+Avenue+Toronto,HIGH+PARK+STATION,10668
349+George+Street+Toronto,HIGH+PARK+STATION,6315
60+Brant+Street+Toronto,HIGH+PARK+STATION,4788
360+Lesmill+Road+North+York,HIGH+PARK+STATION,14778
25+Canterbury+Place+North+York,HIGH+PARK+STATION,13400
"490+Sherbourne+Street,+2nd+floor+Toronto",HIGH+PARK+STATION,6151
512+Jarvis+St.+Toronto,HIGH+PARK+STATION,5846
86+Lombard+St.+Toronto,HIGH+PARK+STATION,6393
1161+Caledonia+Road+Toronto,HIGH+PARK+STATION,5923
412+Queen+Street+East+Toronto,HIGH+PARK+STATION,7043
702+Kennedy+Rd+Toronto,HIGH+PARK+STATION,15027
1322+Bloor+Street+West+Toronto,HIGH+PARK+STATION,1540
3576+St.+Clair+Avenue+East+Scarborough,HIGH+PARK+STATION,14314
805A+Wellington+Street+W+Toronto,HIGH+PARK+STATION,4315
422+Gilbert+Avenue+Toronto,HIGH+PARK+STATION,3722
1076+Pape+Avenue+Toronto,HIGH+PARK+STATION,8411
14+Vaughan+Road+Toronto,HIGH+PARK+STATION,4843
558+Bathurst+Street+Toronto,HIGH+PARK+STATION,4133
126+Pape+Avenue+Toronto,HIGH+PARK+STATION,8689
60+Newcastle+Street+Toronto,HIGH+PARK+STATION,4825
70+Gerrard+St.+E.+Toronto,HIGH+PARK+STATION,6028
3410+Bayview+Avenue+Toronto,HIGH+PARK+STATION,16571
525+Bloor+Street+East+Toronto,HIGH+PARK+STATION,5945
87+Pembroke+St+Toronto,HIGH+PARK+STATION,6390
101+Ontario+Street+Toronto,HIGH+PARK+STATION,6779
2808+Dundas+St+W+Toronto,HIGH+PARK+STATION,1355
723+Queen+Street+West+Toronto,HIGH+PARK+STATION,4205
107+Jarvis+Street+Toronto,HIGH+PARK+STATION,6475
Sherbourne+Street+Toronto,HIGH+PARK+STATION,6363
29+Leslie+Street+Toronto,HIGH+PARK+STATION,9214
2671+Islington+Avenue+Toronto,HIGH+PARK+STATION,10334
502+Spadina+Ave.+Toronto,HIGH+PARK+STATION,4540
191+Spadina+Road+Toronto,HIGH+PARK+STATION,4536
95+Wellesley+St.+E.+Toronto,HIGH+PARK+STATION,5855
23+Grange+Road+Toronto,HIGH+PARK+STATION,5103
875+Queen+St+E+Toronto,HIGH+PARK+STATION,8254
7+Vanauley+Street+Toronto,HIGH+PARK+STATION,4728
21+Walmer+Rd.+Toronto,HIGH+PARK+STATION,4062
80+Woodlawn+Ave.+East+Toronto,HIGH+PARK+STATION,6287
6+Warrendale+Court+Etobicoke,HIGH+PARK+STATION,11381
348+Davenport+Rd.+Toronto,HIGH+PARK+STATION,5012
167+College+Street+Toronto,HIGH+PARK+STATION,4937
702+Kennedy+Road+Scarborough,HIGH+PARK+STATION,15027
265+Queens+Drive+Toronto,HIGH+PARK+STATION,5752
248+Dufferin+Street+Toronto,HIGH+PARK+STATION,3523
177+Caledonia+Rd+Toronto,HIGH+PARK+STATION,3054
747+Warden+Ave+Toronto,HIGH+PARK+STATION,13494
100+Lippincott+Street+Toronto,HIGHWAY+407+STATION,15546
973+Lansdowne+Avenue+Toronto,HIGHWAY+407+STATION,12518
43+Christie+Street+Toronto,HIGHWAY+407+STATION,14560
1229+Ellesmere+Road+Toronto,HIGHWAY+407+STATION,18907
1651+Sheppard+Ave+West+Toronto,HIGHWAY+407+STATION,5072
4222+Kingston+Road+Toronto,HIGHWAY+407+STATION,24505
38+Bathrust+St+Toronto,HIGHWAY+407+STATION,16240
291+Sherbourne+Street+Toronto,HIGHWAY+407+STATION,17218
3306+Kingston+Road+Toronto,HIGHWAY+407+STATION,23703
339+George+Street+Toronto,HIGHWAY+407+STATION,17162
129+Peter+St+Toronto,HIGHWAY+407+STATION,16573
674+Dundas+St.+W+Toronto,HIGHWAY+407+STATION,15731
616+Vaughan+Road+Toronto+Toronto,HIGHWAY+407+STATION,11508
20+Gerrard+Street+East+Toronto,HIGHWAY+407+STATION,16695
2714+Danforth+Avenue+Toronto,HIGHWAY+407+STATION,20337
349+George+Street+Toronto,HIGHWAY+407+STATION,17109
60+Brant+Street+Toronto,HIGHWAY+407+STATION,16275
