or,de,Time
3410+Bayview+Avenue+Toronto,BAY+STATION,11860
525+Bloor+Street+East+Toronto,BAY+STATION,1153
87+Pembroke+St+Toronto,BAY+STATION,1988
101+Ontario+Street+Toronto,BAY+STATION,2681
2808+Dundas+St+W+Toronto,BAY+STATION,4946
723+Queen+Street+West+Toronto,BAY+STATION,2918
107+Jarvis+Street+Toronto,BAY+STATION,2437
Sherbourne+Street+Toronto,BAY+STATION,1851
29+Leslie+Street+Toronto,BAY+STATION,4976
2671+Islington+Avenue+Toronto,BAY+STATION,14070
502+Spadina+Ave.+Toronto,BAY+STATION,1621
191+Spadina+Road+Toronto,BAY+STATION,1354
95+Wellesley+St.+E.+Toronto,BAY+STATION,1099
23+Grange+Road+Toronto,BAY+STATION,1863
875+Queen+St+E+Toronto,BAY+STATION,4049
7+Vanauley+Street+Toronto,BAY+STATION,2433
21+Walmer+Rd.+Toronto,BAY+STATION,1140
80+Woodlawn+Ave.+East+Toronto,BAY+STATION,1516
6+Warrendale+Court+Etobicoke,BAY+STATION,15116
348+Davenport+Rd.+Toronto,BAY+STATION,1007
167+College+Street+Toronto,BAY+STATION,1217
702+Kennedy+Road+Scarborough,BAY+STATION,10237
265+Queens+Drive+Toronto,BAY+STATION,9454
248+Dufferin+Street+Toronto,BAY+STATION,4827
177+Caledonia+Rd+Toronto,BAY+STATION,5004
747+Warden+Ave+Toronto,BAY+STATION,8704
100+Lippincott+Street+Toronto,BAYVIEW+STATION,11349
973+Lansdowne+Avenue+Toronto,BAYVIEW+STATION,12130
43+Christie+Street+Toronto,BAYVIEW+STATION,11053
1229+Ellesmere+Road+Toronto,BAYVIEW+STATION,8402
1651+Sheppard+Ave+West+Toronto,BAYVIEW+STATION,7832
4222+Kingston+Road+Toronto,BAYVIEW+STATION,14001
38+Bathrust+St+Toronto,BAYVIEW+STATION,12881
291+Sherbourne+Street+Toronto,BAYVIEW+STATION,9850
3306+Kingston+Road+Toronto,BAYVIEW+STATION,13199
339+George+Street+Toronto,BAYVIEW+STATION,9969
129+Peter+St+Toronto,BAYVIEW+STATION,11820
674+Dundas+St.+W+Toronto,BAYVIEW+STATION,11838
616+Vaughan+Road+Toronto+Toronto,BAYVIEW+STATION,9467
20+Gerrard+Street+East+Toronto,BAYVIEW+STATION,10281
2714+Danforth+Avenue+Toronto,BAYVIEW+STATION,10642
349+George+Street+Toronto,BAYVIEW+STATION,9917
60+Brant+Street+Toronto,BAYVIEW+STATION,12229
360+Lesmill+Road+North+York,BAYVIEW+STATION,2174
25+Canterbury+Place+North+York,BAYVIEW+STATION,2447
"490+Sherbourne+Street,+2nd+floor+Toronto",BAYVIEW+STATION,9175
512+Jarvis+St.+Toronto,BAYVIEW+STATION,9245
86+Lombard+St.+Toronto,BAYVIEW+STATION,10757
1161+Caledonia+Road+Toronto,BAYVIEW+STATION,8109
412+Queen+Street+East+Toronto,BAYVIEW+STATION,10595
702+Kennedy+Rd+Toronto,BAYVIEW+STATION,10594
1322+Bloor+Street+West+Toronto,BAYVIEW+STATION,12687
3576+St.+Clair+Avenue+East+Scarborough,BAYVIEW+STATION,11751
805A+Wellington+Street+W+Toronto,BAYVIEW+STATION,13270
422+Gilbert+Avenue+Toronto,BAYVIEW+STATION,10495
1076+Pape+Avenue+Toronto,BAYVIEW+STATION,7881
14+Vaughan+Road+Toronto,BAYVIEW+STATION,9392
558+Bathurst+Street+Toronto,BAYVIEW+STATION,11318
126+Pape+Avenue+Toronto,BAYVIEW+STATION,10627
60+Newcastle+Street+Toronto,BAYVIEW+STATION,18569
70+Gerrard+St.+E.+Toronto,BAYVIEW+STATION,10074
3410+Bayview+Avenue+Toronto,BAYVIEW+STATION,2801
525+Bloor+Street+East+Toronto,BAYVIEW+STATION,8806
87+Pembroke+St+Toronto,BAYVIEW+STATION,9987
101+Ontario+Street+Toronto,BAYVIEW+STATION,10480
2808+Dundas+St+W+Toronto,BAYVIEW+STATION,13061
723+Queen+Street+West+Toronto,BAYVIEW+STATION,12494
107+Jarvis+Street+Toronto,BAYVIEW+STATION,10684
Sherbourne+Street+Toronto,BAYVIEW+STATION,9772
29+Leslie+Street+Toronto,BAYVIEW+STATION,11056
2671+Islington+Avenue+Toronto,BAYVIEW+STATION,12709
502+Spadina+Ave.+Toronto,BAYVIEW+STATION,11055
191+Spadina+Road+Toronto,BAYVIEW+STATION,9680
95+Wellesley+St.+E.+Toronto,BAYVIEW+STATION,9449
23+Grange+Road+Toronto,BAYVIEW+STATION,11336
875+Queen+St+E+Toronto,BAYVIEW+STATION,10802
7+Vanauley+Street+Toronto,BAYVIEW+STATION,12049
21+Walmer+Rd.+Toronto,BAYVIEW+STATION,10257
80+Woodlawn+Ave.+East+Toronto,BAYVIEW+STATION,8173
6+Warrendale+Court+Etobicoke,BAYVIEW+STATION,13799
348+Davenport+Rd.+Toronto,BAYVIEW+STATION,9356
167+College+Street+Toronto,BAYVIEW+STATION,10711
702+Kennedy+Road+Scarborough,BAYVIEW+STATION,10594
265+Queens+Drive+Toronto,BAYVIEW+STATION,10520
248+Dufferin+Street+Toronto,BAYVIEW+STATION,14104
177+Caledonia+Rd+Toronto,BAYVIEW+STATION,11172
747+Warden+Ave+Toronto,BAYVIEW+STATION,10213
100+Lippincott+Street+Toronto,BESSARION+STATION,11956
973+Lansdowne+Avenue+Toronto,BESSARION+STATION,12736
43+Christie+Street+Toronto,BESSARION+STATION,11660
1229+Ellesmere+Road+Toronto,BESSARION+STATION,7715
1651+Sheppard+Ave+West+Toronto,BESSARION+STATION,8439
4222+Kingston+Road+Toronto,BESSARION+STATION,13314
38+Bathrust+St+Toronto,BESSARION+STATION,13487
291+Sherbourne+Street+Toronto,BESSARION+STATION,10457
3306+Kingston+Road+Toronto,BESSARION+STATION,12512
339+George+Street+Toronto,BESSARION+STATION,10576
129+Peter+St+Toronto,BESSARION+STATION,12427
674+Dundas+St.+W+Toronto,BESSARION+STATION,12445
616+Vaughan+Road+Toronto+Toronto,BESSARION+STATION,10074
20+Gerrard+Street+East+Toronto,BESSARION+STATION,10888
2714+Danforth+Avenue+Toronto,BESSARION+STATION,10397
349+George+Street+Toronto,BESSARION+STATION,10523
60+Brant+Street+Toronto,BESSARION+STATION,12836
360+Lesmill+Road+North+York,BESSARION+STATION,1487
25+Canterbury+Place+North+York,BESSARION+STATION,3054
"490+Sherbourne+Street,+2nd+floor+Toronto",BESSARION+STATION,9782
512+Jarvis+St.+Toronto,BESSARION+STATION,9852
86+Lombard+St.+Toronto,BESSARION+STATION,11364
1161+Caledonia+Road+Toronto,BESSARION+STATION,8715
412+Queen+Street+East+Toronto,BESSARION+STATION,11202
702+Kennedy+Rd+Toronto,BESSARION+STATION,9907
1322+Bloor+Street+West+Toronto,BESSARION+STATION,13293
3576+St.+Clair+Avenue+East+Scarborough,BESSARION+STATION,11064
805A+Wellington+Street+W+Toronto,BESSARION+STATION,13877
422+Gilbert+Avenue+Toronto,BESSARION+STATION,11102
1076+Pape+Avenue+Toronto,BESSARION+STATION,8488
